taxon_code,gbif_accepted_taxon_id,gbif_accepted_scientific_name,habit,wcvp_accepted_name,taxonomic_rank,wcvp_url,source
Abrus,2943776,Abrus,,Abrus,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:21549-1,wcvp
Abuta,7268654,Abuta,,Abuta,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:26864-1,wcvp
Abuta racemosa-ABUTRA-ABUR,7349979,Abuta racemosa,Climbing,Abuta racemosa,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:580077-1,wcvp
Acacia,2978223,Acacia,,Acacia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:325783-2,wcvp
Acaciella,6627713,Acaciella,,Acaciella,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296613-2,wcvp
Acalypha,3055964,Acalypha,,Acalypha,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327639-2,wcvp
Acalypha diversifolia-ACALDI-ACAD,3056298,Acalypha diversifolia,Freestanding,Acalypha diversifolia,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1228-2,wcvp
Acalypha macrostachya-ACALMA-ACA2,3056437,Acalypha macrostachya,Freestanding,Acalypha macrostachya,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1362-2,wcvp
Acanthaceae,2393,Acanthaceae,,Acanthaceae,family,,wcvp
Acanthocladus,7293501,Acanthocladus,,Acanthocladus,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30093516-2,wcvp
Achariaceae,3231308,Achariaceae,,Achariaceae,family,,wcvp
Acrocomia,2739147,Acrocomia,,Acrocomia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:31067-1,wcvp
Acrocomia aculeata-ACROPA-ACRA,7413879,Acrocomia aculeata,Freestanding,Acrocomia aculeata,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:663914-1,wcvp
Actinidiaceae,2385,Actinidiaceae,,Actinidiaceae,family,,wcvp
Actinostemon,8265757,Actinostemon,,Actinostemon,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:14960-1,wcvp
Adelia,3072378,Adelia,,Adelia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327625-2,wcvp
Adelia triloba-ADE1TR-ADET,5380432,Adelia triloba,Freestanding,Adelia triloba,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:338143-1,wcvp
Adelobotrys,3860441,Adelobotrys,,Adelobotrys,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328167-2,wcvp
Adelobotrys adscendens-ADELAD-ADE1,3860874,Adelobotrys adscendens,Climbing,Adelobotrys adscendens,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:566051-1,wcvp
Adelphia,3231255,Adelphia,,Adelphia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60442791-2,wcvp
Adelphia hiraea-MASCHI-MASH,5635040,Adelphia hiraea,Climbing,Adelphia hiraea,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60442792-2,wcvp
Adenanthera,2951839,Adenanthera,,Adenanthera,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:21576-1,wcvp
Adenaria,7286104,Adenaria,,Adenaria,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30023860-2,wcvp
Adenaria floribunda-ADENFL,7286112,Adenaria floribunda,Freestanding,Adenaria floribunda,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30023859-2,wcvp
Adenocalymma,10767005,Adenocalymma,,Adenocalymma,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30000239-2,wcvp
Adenocalymma arthropetiolatum-ADE3AR,4092999,Adenocalymma arthropetiolatum,Climbing,Adenocalymma arthropetiolatum,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:4267-2,wcvp
Adenophaedra,3061263,Adenophaedra,,Adenophaedra,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:14970-1,wcvp
Adonidia,2738433,Adonidia,,Adonidia,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:31076-1,wcvp
Aegiphila,9156446,Aegiphila,,Aegiphila,genus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:41179-1,wcvp
