wcvp_accepted_name,rel_abun,cusum_rel_abun,n_crowns,f1
Hura crepitans,0.098505635,0.098505635,52,0.8087912087912088
Prioria copaifera,0.046942693,0.145448328,85,0.7208994708994709
Alseis blackiana,0.044177003,0.189625331,30,0.32027257240204426
Anacardium excelsum,0.043192808,0.232818139,233,0.8915901761349542
Ceiba pentandra,0.037858869,0.270677008,37,0.5132275132275134
Jacaranda copaia,0.037493368,0.308170376,62,0.7634146341463415
Quararibea stenophylla,0.032672671,0.340843047,19,0.5718390804597702
Dipteryx oleifera,0.032129595,0.372972642,84,0.9105520614954576
Apeiba membranacea,0.023553723,0.396526365,21,0.2955145118733509
Luehea seemannii,0.023372451,0.419898815,82,0.6922330097087378
Virola surinamensis,0.023184101,0.443082917,55,0.5082644628099173
Protium stevensonii,0.021989663,0.46507258,21,0.1519607843137255
Brosimum alicastrum,0.020901608,0.485974188,22,0.7866323907455013
Spondias radlkoferi,0.017493189,0.503467376,10,0.4076433121019108
Tabernaemontana arborea,0.017400049,0.520867425,6,0.3125
Zanthoxylum ekmanii,0.016863043,0.537730468,1,0.2412060301507538
Trichilia tuberculata,0.016767797,0.554498264,5,0.26277372262773724
Pouteria reticulata,0.016751671,0.571249935,3,0
Hieronyma alchorneoides,0.016588816,0.587838751,77,0.7718794835007174
Tachigali panamensis,0.014794687,0.602633439,29,0.70354609929078
Cavanillesia platanifolia,0.013098441,0.61573188,0,0
Pseudobombax septenatum,0.012728417,0.628460297,25,0.577391304347826
Cecropia insignis,0.012114526,0.640574823,16,0.49142857142857144
Platypodium elegans,0.011781404,0.652356227,12,0.0217391304347826
Beilschmiedia tovarensis,0.011627773,0.663984,5,0
Handroanthus guayacan,0.0114698,0.6754538,28,0.5313092979127134
Guapira myrtiflora,0.011014945,0.686468745,10,0
Guapira myrtiflora,0.011014945,0.686468745,10,0
Aspidosperma desmanthum,0.010163992,0.696632737,7,0.19696969696969696
Aspidosperma desmanthum,0.010163992,0.696632737,7,0
Macrocnemum roseum,0.009061453,0.70569419,1,0
Terminalia amazonia,0.008990698,0.714684888,43,0.7272727272727273
Cordia bicolor,0.00850625,0.723191138,2,0.03999999999999999
Simarouba amara,0.008503409,0.731694547,29,0.3868131868131868
Attalea butyracea,0.008384772,0.740079319,4,0
Tabebuia rosea,0.008308825,0.748388144,28,0.4218455743879472
Sterculia apetala,0.00811047,0.756498614,38,0.4736
Ocotea whitei,0.007872166,0.76437078,0,NA
Guatteria lucens,0.007660554,0.772031334,18,0.6025104602510459
Ficus insipida,0.007550352,0.779581686,19,0.5627705627705627
Terminalia oblonga,0.007492369,0.787074055,7,0.4725274725274725
Spondias mombin,0.006732484,0.793806539,12,0.23140495867768596
Ficus obtusifolia,0.006405742,0.800212281,11,0.3582089552238806
Ficus obtusifolia,0.006405742,0.800212281,11,0
Chrysophyllum cainito,0.006359955,0.806572236,16,0.2909090909090909
Protium tenuifolium,0.006342313,0.81291455,4,0.24242424242424243
Guazuma ulmifolia,0.005600625,0.818515174,4,0
Virola sebifera,0.005105005,0.823620179,4,0.03703703703703703
Ficus trigonata,0.004971322,0.828591502,0,NA
Cordia alliodora,0.004970271,0.833561773,9,0
Ocotea oblonga,0.00492116,0.838482932,6,0.0851063829787234
Astronium graveolens,0.004773737,0.843256669,33,0.6346483704974271
Guarea guidonia,0.004755102,0.848011771,5,0.6060606060606061
Platymiscium dimorphandrum,0.004652202,0.852663973,0,NA
Poulsenia armata,0.004627819,0.857291793,9,0.5619047619047619
Ficus popenoei,0.004064014,0.861355807,1,NA
Zanthoxylum panamense,0.003885467,0.865241274,1,0
Alchornea costaricensis,0.003877546,0.86911882,0,NA
Trattinnickia aspera,0.003805932,0.872924752,23,0.1407624633431085
Sloanea terniflora,0.003804986,0.876729738,11,0
Ficus yoponensis,0.003634716,0.880364454,3,0.1694915254237288
Gustavia superba,0.003614798,0.883979252,2,0.1176470588235294
Hymenaea courbaril,0.003606764,0.887586016,4,0.21052631578947367
Inga marginata,0.003592828,0.891178844,2,0.16759776536312848
Trema domingense,0.003580191,0.894759035,0,NA
Inga laurina,0.00329369,0.898052725,1,0
Drypetes standleyi,0.003282686,0.901335411,0,NA
Calophyllum longifolium,0.003240294,0.904575705,21,0.502092050209205
Nectandra cissiflora,0.00298839,0.907564095,0,NA
Sapium glandulosum,0.002856765,0.91042086,5,0
Ocotea puberula,0.002749869,0.91317073,0,NA
Pourouma bicolor,0.002647047,0.915817777,2,0
Chrysophyllum argenteum,0.002332108,0.918149885,1,0
Triplaris cumingiana,0.002322453,0.920472338,0,NA
Pterocarpus rohrii,0.002289323,0.922761661,0,NA
Casearia arborea,0.00226473,0.925026391,1,0
Aiouea montana,0.00224653,0.927272922,5,0.2285714285714286
