wcvp_accepted_name,rel_abun,cusum_rel_abun,n_crowns
Hura crepitans,0.08252369406114575,0.08252369406114575,52
Prioria copaifera,0.04361581510038161,0.12613950916152736,85
Quararibea asterolepis,0.04257559196887087,0.16871510113039823,20
Alseis blackiana,0.04011985530973203,0.20883495644013025,30
Ceiba pentandra,0.03605439584632576,0.24488935228645603,37
Anacardium excelsum,0.03591541976477597,0.280804772051232,233
Jacaranda copaia,0.03309725225778714,0.31390202430901915,62
Dipteryx oleifera,0.02985079325096425,0.3437528175599834,84
Tachigali versicolor,0.02157713694641,0.3653299545063934,0
Protium stevensonii,0.02030884563289257,0.3856388001392859,21
Luehea seemannii,0.02009019906519575,0.4057289992044817,82
Virola surinamensis,0.01987483006237453,0.42560382926685625,55
Apeiba membranacea,0.019529497439915,0.44513332670677125,21
Brosimum alicastrum,0.01822285760579745,0.4633561843125687,22
Trichilia tuberculata,0.01735585767980451,0.48071204199237316,5
Quararibea stenophylla,0.01640461652934925,0.49711665852172243,19
Beilschmiedia pendula,0.01531262665344292,0.5124292851751654,0
Pouteria reticulata,0.0151100939465972,0.5275393791217625,3
Aspidosperma spruceanum,0.01463351731671631,0.5421728964384789,0
Zanthoxylum ekmanii,0.01460630161197364,0.5567791980504525,1
Hieronyma alchorneoides,0.01441504602523924,0.5711942440756917,77
Spondias radlkoferi,0.01343440883345736,0.5846286529091491,10
Tabernaemontana arborea,0.01320762543934808,0.5978362783484972,6
Cavanillesia platanifolia,0.01142932977391998,0.6092656081224171,0
Oenocarpus mapora,0.01023363191505722,0.6194992400374744,7
Cecropia insignis,0.01008215093553465,0.629581390973009,16
Pseudobombax septenatum,0.00989813319860015,0.6394795241716091,25
Platypodium elegans,0.00988048218172133,0.6493600063533305,12
Handroanthus guayacan,0.00948708022823566,0.6588470865815662,28
Guapira myrtiflora,0.00921328402954698,0.6680603706111131,10
Macrocnemum roseum,0.00906132634548854,0.6771216969566017,1
Cordia bicolor,0.00861009676465085,0.6857317937212526,2
Gustavia superba,0.00826132383197496,0.6939931175532275,2
Simarouba amara,0.00782820639761021,0.7018213239508377,29
Terminalia amazonia,0.00739344722267695,0.7092147711735146,43
Protium tenuifolium,0.00732010767926188,0.7165348788527766,4
Terminalia oblonga,0.00701959270832148,0.723554471561098,7
Attalea butyracea,0.00697846675406065,0.7305329383151586,4
Sterculia apetala,0.00696318104873665,0.7374961193638954,38
Tabebuia rosea,0.00662569502546585,0.7441218143893612,28
Ocotea whitei,0.00654533097468813,0.7506671453640493,0
Guatteria lucens,0.00608427759668723,0.7567514229607365,18
Virola sebifera,0.00602201745254481,0.7627734404132813,4
Spondias mombin,0.00583651962337429,0.7686099600366556,12
Jupunba macradenia,0.00582148774928535,0.774431447785941,3
Ficus obtusifolia,0.00557476904473573,0.7800062168306767,11
Beilschmiedia tovarensis,0.00551896630539833,0.785525183136075,5
Ficus insipida,0.00535139907309847,0.7908765822091736,19
Tachigali panamensis,0.00533671132777491,0.7962132935369485,29
Guazuma ulmifolia,0.00515074060632113,0.8013640341432695,4
Guarea guidonia,0.00509551968834795,0.8064595538316175,5
Ficus aurea,0.00506919175953815,0.8115287455911556,0
Platymiscium pinnatum,0.00480026390057677,0.8163290094917324,0
Aspidosperma desmanthum,0.00477815615942045,0.8211071656511528,7
Enterolobium cyclocarpum,0.00471176400722081,0.8258189296583737,2
Astronium graveolens,0.00450591092880727,0.8303248405871809,33
Poulsenia armata,0.00409010912245233,0.8344149497096333,9
Cordia alliodora,0.00398070106318736,0.8383956507728206,9
