wcvp_accepted_name,rel_abun
Hura crepitans,0.06535373219751557
Prioria copaifera,0.06077000788365844
Ceiba pentandra,0.06059548218835895
Quararibea stenophylla,0.04858196028636593
Jacaranda copaia,0.047820952609330725
Dipteryx oleifera,0.04407770418696331
Alseis blackiana,0.03305023051062443
Anacardium excelsum,0.028780998580978573
Brosimum alicastrum,0.02809434133933492
Pouteria reticulata,0.024995402531139754
Protium stevensonii,0.024741064903446904
Zanthoxylum ekmanii,0.0245773133214261
Tachigali panamensis,0.023827736771410684
Apeiba membranacea,0.022481246535689912
Virola surinamensis,0.021821399842324233
Cecropia insignis,0.01992570500008563
Luehea seemannii,0.019640394652539365
Trichilia tuberculata,0.018959886463564307
Tabernaemontana arborea,0.01835592841669012
Beilschmiedia tovarensis,0.017734775764367234
Hieronyma alchorneoides,0.01598245392324746
Aspidosperma desmanthum,0.01487040934835612
Terminalia oblonga,0.014158989181870451
Cavanillesia platanifolia,0.014011738698123624
Ocotea whitei,0.0126221963875214
Simarouba amara,0.01048009802812126
Guapira myrtiflora,0.010443815249669619
Sterculia apetala,0.00915364349268757
Guazuma ulmifolia,0.009074190765642275
Guatteria lucens,0.009033429703722885
Spondias mombin,0.008737337838464395
Platypodium elegans,0.008423087309023884
Cordia bicolor,0.008232808666416073
Handroanthus guayacan,0.007418537949940758
Poulsenia armata,0.006798156716720274
Ficus obtusifolia,0.006698797458045788
Chrysophyllum cainito,0.006650915499294522
Tabebuia rosea,0.0063428907728001385
Astronium graveolens,0.0057414977307857175
Trema domingense,0.005561040348477629
Platymiscium dimorphandrum,0.005463515613484033
Terminalia amazonia,0.005380869632715973
Ficus trigonata,0.0051987545520249
Guarea guidonia,0.005122703499773158
Sloanea terniflora,0.005086141328646304
Spondias radlkoferi,0.00491497452626121
Drypetes standleyi,0.004373345368331706
Inga marginata,0.004268592837389994
Ficus popenoei,0.004249937968112432
Alchornea costaricensis,0.003966690429684077
Zanthoxylum panamense,0.003884120923552815
Virola sebifera,0.003789833408899701
Cordia alliodora,0.0037567437627832635
Ocotea oblonga,0.0037147000240432587
Protium tenuifolium,0.003705907142682502
Gustavia superba,0.0036765680208842725
Trattinnickia aspera,0.0036614625647972553
Pseudobombax septenatum,0.003602813878438601
Ficus yoponensis,0.0033952197573129546
Calophyllum longifolium,0.0033829534506796466
Ochroma pyramidale,0.0031889313091258606
Attalea butyracea,0.0031746433246326294
Hirtella triandra,0.002991099565469761
Ocotea puberula,0.002906879502730192
Pourouma bicolor,0.002768146374137529
Aiouea montana,0.0023493063806281013
Oenocarpus mapora,0.002347826750551704
Virola fosteri,0.0022782743939583627
Chrysophyllum argenteum,0.002100929732140369
Ficus costaricana,0.0020160897029230275
Celtis schippii,0.0019288061071142588
Sapium glandulosum,0.0018668941428865882
Cecropia obtusifolia,0.0017368147139926336
Casearia bicolor,0.001594952599823633
Dendropanax arboreus,0.0015292056284813061
Jupunba macradenia,0.001436708123381522
Cupania latifolia,0.0013983094310668935
Casearia arborea,0.0013713342851176841
Pachira sessilis,0.00137101294342932
Pombalia prunifolia,0.0011771871660639028
Ormosia macrocalyx,0.0011586473581986563
Genipa americana,0.0011293409986509674
Miconia argentea,0.0010749424315393914
Eugenia oerstediana,0.00104459014054161
Lonchocarpus heptaphyllus,0.0010217804891117508
Ormosia coccinea,9.611063072267182e-4
Swartzia simplex,8.758113509731459e-4
Astrocaryum standleyanum,8.536335634571493e-4
Inga thibaudiana,8.28834354741517e-4
Myrospermum frutescens,8.065098052871953e-4
Croton billbergianus,7.822246259800435e-4
Moquilea platypus,7.797332237863249e-4
Triplaris cumingiana,7.374483578684551e-4
Trichilia pallida,7.038491831829988e-4
Tocoyena pittieri,6.896352793662245e-4
Inga spectabilis,6.719164362571611e-4
Ficus maxima,6.623024086542059e-4
Heisteria concinna,6.271243361942212e-4
Hampea appendiculata,5.913628596323847e-4
Cupania seemannii,5.833768383195648e-4
Vochysia ferruginea,5.800743314646684e-4
Inga sapindoides,5.71051907378807e-4
Nectandra lineata,5.492501422873127e-4
Inga goldmanii,5.160464049248692e-4
Symphonia globulifera,5.001644024022365e-4
Lafoensia punicifolia,4.907323411334713e-4
Pouteria fossicola,4.7357529046378926e-4
Lacmellea panamensis,4.533681994588207e-4
Cordia lasiocalyx,4.392992718230975e-4
Cassipourea elliptica,4.3376866599610864e-4
Socratea exorrhiza,4.0521728007898093e-4
Maclura tinctoria,3.966812238713307e-4
Turpinia occidentalis,3.928529233541085e-4
Nectandra cissiflora,3.8644363242367873e-4
Pouteria stipitata,3.7817456778102847e-4
Xylopia macrantha,3.739990171577545e-4
Inga acuminata,3.731035063910839e-4
Mouriri myrtilloides,3.69261901858043e-4
Robrichia schomburgkii,3.6409262820657963e-4
Eugenia florida,3.26984349408493e-4
Trichospermum mexicanum,3.0662857329208755e-4
Inga punctata,2.936407503627111e-4
Protium costaricense,2.870240905360894e-4
Trophis racemosa,2.788072822348236e-4
Faramea occidentalis,2.544279948190353e-4
Erythroxylum macrophyllum,2.4515200362514034e-4
Coussarea suaveolens,2.3123856749657204e-4
Zanthoxylum acuminatum,2.295145558233857e-4
Inga pezizifera,2.2323938819231054e-4
Maquira guianensis,1.748571530661587e-4
Pterocarpus rohrii,1.7081360245707811e-4
Apeiba tibourbou,1.6517376032386977e-4
Solanum hayesii,1.6493508988935896e-4
Damburneya purpurea,1.470173831831101e-4
Siparuna cristata,1.3490383073949224e-4
Eugenia nesiotica,1.2862541973184373e-4
Hasseltia floribunda,1.2338340264703265e-4
Spachea membranacea,1.1626155322967076e-4
Garcinia intermedia,9.448311734740876e-5
Lindackeria laurina,6.53034255161018e-5
Inga nobilis,5.475679575240509e-5
