class_index,class_name,train,val,test,support,precision,recall,f1,accuracy
35,Dipteryx oleifera-DIPTPA-DIPP,2128.0,448.0,464.0,1392,0.8863945578231293,0.9360632183908046,0.9105520614954576,0.9360632183908046
3,Anacardium excelsum-ANACEX-ANAE,2880.0,608.0,624.0,1872,0.8323297823066235,0.9599358974358975,0.8915901761349542,0.9599358974358975
53,Hura crepitans-HURACR-HURC,640.0,128.0,144.0,432,0.7698744769874477,0.8518518518518519,0.8087912087912088,0.8518518518518519
14,Brosimum alicastrum-BROSAL-BROA,272.0,64.0,64.0,192,0.7766497461928934,0.796875,0.7866323907455013,0.796875
52,Hieronyma alchorneoides-HYERAL-HYEL,928.0,192.0,208.0,624,0.6987012987012987,0.8621794871794872,0.7718794835007174,0.8621794871794872
61,Jacaranda copaia-JAC1CO-JACC,1008.0,208.0,224.0,672,0.6466942148760331,0.9315476190476191,0.7634146341463415,0.9315476190476191
105,Terminalia amazonia-TERMAM-TERA,464.0,96.0,96.0,288,0.6628571428571428,0.8055555555555556,0.7272727272727273,0.8055555555555556
84,Prioria copaifera-PRI2CO-PRIC,1072.0,224.0,224.0,672,0.6488095238095238,0.8110119047619048,0.7208994708994709,0.8110119047619048
104,Tachigali panamensis-TACHVE-TACV,496.0,112.0,112.0,336,0.6720867208672087,0.7380952380952381,0.70354609929078,0.7380952380952381
66,Luehea seemannii-LUEHSE-LUE1,1216.0,256.0,272.0,816,0.5731511254019293,0.8737745098039216,0.6922330097087378,0.8737745098039216
73,Ochroma pyramidale-OCHRPY-OCHP,128.0,32.0,32.0,96,0.5112359550561798,0.9479166666666666,0.6642335766423357,0.9479166666666666
77,Oenocarpus mapora-OENOMA-OENM,48.0,16.0,16.0,48,0.48,1.0,0.6486486486486487,1.0
11,Astronium graveolens-AST2GR-ASTG,368.0,80.0,80.0,240,0.5393586005830904,0.7708333333333334,0.6346483704974271,0.7708333333333334
47,Guarea grandifolia-GUARGR-GUA1,48.0,16.0,16.0,48,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.8333333333333334
48,Guatteria lucens-GUATDU-GUAD,240.0,48.0,48.0,144,0.7578947368421053,0.5,0.6025104602510459,0.5
69,Miconia argentea-MICOAR-MIC2,64.0,16.0,16.0,48,0.42342342342342343,0.9791666666666666,0.5911949685534591,0.9791666666666666
88,Pseudobombax septenatum-PSE1SE-PSE1,272.0,64.0,64.0,192,0.43342036553524804,0.8645833333333334,0.577391304347826,0.8645833333333334
92,Quararibea stenophylla-QUARA1-QUA1,496.0,96.0,112.0,336,0.5527777777777778,0.5922619047619048,0.5718390804597702,0.5922619047619048
38,Ficus insipida-FICUIN-FIIN,208.0,48.0,48.0,144,0.7471264367816092,0.4513888888888889,0.5627705627705627,0.4513888888888889
80,Poulsenia armata-POULAR-POUA,112.0,16.0,32.0,96,0.5175438596491229,0.6145833333333334,0.5619047619047619,0.6145833333333334
51,Handroanthus guayacan-TAB1GU-TABG,320.0,64.0,80.0,240,0.4878048780487805,0.5833333333333334,0.5313092979127134,0.5833333333333334
