col,row,name,date,p5,tag,dbh,code,comments
0,27,AAV,01-11-05,"3,3",38009,210,,medido a 1.10m
0,27,AAV,01-11-05,"3,3",38009,48,,
0,28,AAV,01-11-05,"1,4",38012,210,,
0,28,AAV,01-11-05,"1,4",38012,165,,
1,25,AAV,01-11-05,"2,3",38028,217,,
1,25,AAV,01-11-05,"2,3",38028,13,,
1,25,AAV,01-11-05,"2,3",38028,11,,
1,29,AAV,01-11-05,"1,3",38058,18,,
1,29,AAV,01-11-05,"1,3",38058,208,,
1,29,AAV,01-11-05,"1,3",38058,57,,
2,29,OL,01-11-05,12,39523,423,,
2,29,OL,01-11-05,12,39523,77,,
2,29,OL,01-11-05,12,39523,33,,
2,29,OL,01-11-05,12,39523,110,,
2,29,OL,01-11-05,12,39523,140,,
2,29,OL,01-11-05,41,39528,293,,
2,29,OL,01-11-05,41,39528,199,,
4,25,AAV,02-11-05,"1,4",38063,202,,
4,25,AAV,02-11-05,"1,4",38063,120,,
4,28,AAV,02-11-05,"2,3",38082,204,,
4,28,AAV,02-11-05,"2,3",38082,20,,
4,29,AAV,02-11-05,"1,4",38093,219,,
4,29,AAV,02-11-05,"1,4",38093,23,,
4,29,AAV,02-11-05,"1,4",38093,19,,
5,25,AAV,02-11-05,"3,2",38111,260,,
5,25,AAV,02-11-05,"3,2",38111,33,,
5,25,AAV,02-11-05,"3,2",38111,12,,
5,25,AAV,02-11-05,"3,2",38111,12,,
5,25,AAV,02-11-05,"3,2",38111,10,,
7,27,OL,02-11-05,"4,2",39607,254,,
7,27,OL,02-11-05,"4,2",39607,13,,
7,28,OL,02-11-05,42,39616,622,,
7,28,OL,02-11-05,42,39616,53,,
7,29,OL,02-11-05,"4,2",39621,254,,
7,29,OL,02-11-05,"4,2",39621,12,,
9,26,AAV,07-11-05,42,38181,516,,
9,26,AAV,07-11-05,42,38181,404,,
9,29,AAV,07-11-05,13,38194,202,,
9,29,AAV,07-11-05,13,38194,44,,
9,29,AAV,07-11-05,13,38194,41,,
9,29,AAV,07-11-05,13,38194,32,,
9,29,AAV,07-11-05,13,38194,29,,
9,29,AAV,07-11-05,13,38194,22,,
9,29,AAV,07-11-05,13,38194,15,,
9,29,AAV,07-11-05,13,38194,11,,
11,26,OL,08-11-05,42,39667,278,,
11,26,OL,08-11-05,42,39667,61,,
11,27,OL,08-11-05,24,39671,268,,Medido a 1.70
11,27,OL,08-11-05,24,39671,22,,
11,27,OL,08-11-05,24,39671,13,,
12,27,RNR,03-11-05,23,39014,1533,,
12,27,RNR,03-11-05,23,39014,66,,
13,25,AAV,08-11-05,34,38201,481,,Medido a 1.80
13,25,AAV,08-11-05,34,38201,181,,
13,26,AAV,08-11-05,44,38209,311,,
13,26,AAV,08-11-05,44,38209,23,,
13,28,AAV,08-11-05,44,38217,235,,
13,28,AAV,08-11-05,44,38217,57,,
13,28,AAV,08-11-05,44,38217,52,,
13,28,AAV,08-11-05,44,38217,41,,
13,28,AAV,08-11-05,44,38217,35,,
13,28,AAV,08-11-05,44,38217,25,,
13,28,AAV,08-11-05,44,38217,22,,
13,29,AAV,08-11-05,33,38226,472,,
13,29,AAV,08-11-05,33,38226,32,,
13,29,AAV,08-11-05,33,38226,16,,
13,29,AAV,08-11-05,33,38226,16,,
13,29,AAV,08-11-05,33,38226,15,,
13,29,AAV,08-11-05,33,38226,15,,
13,29,AAV,08-11-05,33,38226,15,,
13,29,AAV,08-11-05,33,38226,15,,
13,29,AAV,08-11-05,33,38226,14,,
13,29,AAV,08-11-05,33,38226,12,,
13,29,AAV,08-11-05,42,38231,619,,
13,29,AAV,08-11-05,42,38231,31,,
13,29,AAV,08-11-05,42,38231,25,,
13,29,AAV,08-11-05,42,38231,24,,
14,25,AAV,08-11-05,34,38242,501,,
14,25,AAV,08-11-05,34,38242,260,,
14,27,AAV,08-11-05,14,38251,884,,
14,27,AAV,08-11-05,14,38251,208,,
14,27,AAV,08-11-05,14,38251,85,,
14,29,AAV,08-11-05,14,38264,215,,
14,29,AAV,08-11-05,14,38264,65,,
14,29,AAV,08-11-05,14,38264,55,,
15,28,OL,09-11-05,34,39713,203,,
