"tag"	"new.tag"	"sp"	"dbh04"	"dbh14"	"code04"	"code14"	"stems04"	"stems14"	"pom04"	"pom14"	"date14"	"col"	"row"	"p5"	"x"	"y"
24856	"48399"	"GUSTSU"	274	277	""	""	NA	1	1.3	1.3	20140604	34	27	32	10.3	6.5
39182	"48399"	"GUSTSU"	206	215	""	""	NA	1	1.3	1.3	20140604	35	25	11	1.4	1.8
19953	"48426"	"LONCLA"	292	298	""	"P"	NA	1	1.3	1.3	20140503	37	27	44	15.5	16.1
39235	"48454"	"POSOLA"	212	439	""	"P"	NA	1	1.3	1.3	20140604	41	28	34	14.5	16
38035	"48456"	"CORDAL"	465	467	""	"P"	NA	1	1.9	1.3	20140527	1	26	14	2.7	18.2
38044	"48459"	"SIMAAM"	271	351	""	"P"	NA	1	1.3	1.3	20140527	1	27	44	19.8	15.1
38053	"48460"	"TACHVE"	812	964	"B"	"Q"	NA	1	5.05	5.05	20140527	1	28	31	10.1	0.4
38049	"48461"	"JAC1CO"	589	672	""	"P"	NA	1	1.3	1.3	20140527	1	28	14	1.3	18.7
38061	"48463"	"JAC1CO"	467	525	""	"P"	NA	1	1.3	1.3	20140527	1	29	42	15.2	5.2
38062	"48464"	"TAB2AR"	274	401	""	"P"	NA	1	1.3	1.3	20140527	1	29	41	19.6	0.9
39577	"48468"	"TAB2AR"	213	324	""	"P"	NA	1	1.3	1.3	20140528	6	28	22	7	9.2
39593	"48483"	"QUARAS"	219	280	""	"P"	NA	1	1.3	3.02	20140528	7	25	22	8.2	6.1
39672	"48489"	"TAB2AR"	566	422	"B"	"P,Q"	NA	1	3.3	2.1	20140528	11	27	23	6.2	13.6
39004	"48493"	"CORDBI"	306	258	""	"P"	NA	1	1.3	1.3	20140529	12	25	21	6.2	0.4
39001	"48494"	"JAC1CO"	341	400	"Q"	"P"	NA	1	1.3	1.3	20140529	12	25	14	4.1	18.7
39017	"48497"	"VIROSU"	386	526	""	"P"	NA	1	1.3	30.05	20140529	12	27	31	14.6	1.4
39020	"48499"	"TAB2AR"	268	438	""	"P"	NA	1	1.3	1.3	20140529	12	28	12	0.5	9
24814	"48636"	"GUSTSU"	216	227	""	""	NA	1	1.3	1.3	20140603	32	27	23	9	12.6
24820	"48640"	"GUSTSU"	208	214	""	""	NA	1	1.3	1.3	20140603	31	28	44	16.1	15.7
24827	"48642"	"GUSTSU"	237	255	""	"P"	NA	1	1.3	1.3	20140603	32	28	32	10.5	7.5
24832	"48644"	"HURACR"	1124	1134	"B"	"P"	NA	1	1.3	1.3	20140603	32	29	11	1.2	3.7
24847	"48671"	"GUAPST"	652	626	"B"	"P,Q"	NA	1	3.65	3.65	20140603	32	28	42	18.2	8.3
24850	"48672"	"HURACR"	661	710	""	"P"	NA	1	1.3	1.3	20140603	33	28	11	3.7	1.3
19426	"48696"	"TERMAM"	241	300	""	""	NA	1	1.3	1.3	20140604	35	27	43	15.4	10.5
19073	"48699"	"SPONRA"	659	760	""	""	NA	1	1.3	1.3	20140604	35	29	42	15.6	8.6
19665	"48722"	"APEIME"	534	466	"B"	"P"	NA	1	2	5	20140604	39	29	34	11.4	15.6
38015	"48736"	"FICUYO"	222	292	""	"P"	NA	1	1.3	1.3	20140527	0	28	31	12.6	4.3
38011	"48737"	"OCOTWH"	322	483	""	"P"	NA	1	1.3	1.3	20140527	0	28	13	1.3	12.7
38010	"48738"	"JAC1CO"	551	573	""	"P"	NA	1	1.3	1.3	20140527	0	28	12	1.01	9.9
38012	"48740"	"TURPOC"	267	170	"M"	"R,P"	2	1	1.3	1.3	20140527	0	28	14	1.4	19.4
38100	"48741"	"CASESY"	426	473	""	"P"	NA	1	1.3	4.2	20140527	4	29	43	15.8	10.2
38070	"48749"	"QUARAS"	206	313	""	"P"	NA	1	1.3	1.3	20140527	4	26	22	9.4	6.01
38137	"48752"	"BEILPE"	376	435	""	"P"	NA	1	1.3	1.3	20140528	8	25	12	3.6	9.3
38145	"48755"	"CORDBI"	222	312	""	""	NA	1	1.3	1.3	20140528	8	26	24	9.9	15.1
38302	"48777"	"TRI2TU"	345	396	""	""	NA	1	1.7	1.3	20140530	22	26	21	7.6	2.1
38321	"48780"	"LUEHSE"	803	823	"B"	"P"	NA	1	5.6	5.6	20140530	22	29	44	15.5	15.3
29329	"48782"	"OCOTCE"	224	230	""	"P"	NA	1	1.3	1.3	20140530	23	28	42	17.1	5.6
29316	"48783"	"SIMAAM"	357	480	""	"P"	NA	1	1.3	1.3	20140530	23	27	12	1.1	5.2
39246	"48785"	"SCH1ZO"	337	334	""	"P"	NA	1	1.3	1.3	20140602	24	26	31	10.8	0.5
39257	"48788"	"TERMOB"	601	719	"B"	"P"	NA	1	6.35	6.35	20140602	24	28	14	1.8	18.6
39953	"48790"	"APEIME"	374	447	""	"P"	NA	1	1.3	1.3	20140602	25	29	12	4.2	9.5
39954	"48791"	"OCOTPU"	378	666	""	"P"	NA	1	1.3	1.3	20140602	25	29	13	0.4	11.1
48798	"48798"	"LUEHSE"	214	235	""	"P"	NA	1	1.3	1.3	20140602	25	26	42	15.6	8.8
48799	"48799"	"HIRTTR"	223	220	""	"P"	NA	1	1.3	1.3	20140602	25	26	42	16.1	8.3
39782	"48808"	"SLOATE"	500	593	"B"	"P"	NA	1	6.45	6.45	20140604	39	26	32	14	9.9
39209	"48809"	"GUAPST"	314	418	""	"P"	NA	1	1.3	1.3	20140604	40	26	32	14.8	9.5
38389	"48811"	"JAC1CO"	282	455	""	"P"	NA	1	1.3	1.3	20140605	46	25	11	1.2	3
38439	"48817"	"TRI2TU"	205	291	""	"P"	NA	1	1.3	1.3	20140605	47	28	44	18.1	19
38430	"48818"	"LUEHSE"	930	960	"B"	"P"	NA	1	5.6	5.6	20140605	47	27	23	5.4	10.6
38417	"48822"	"JAC1CO"	518	597	""	"P"	NA	1	1.3	1.3	20140605	47	25	21	8	1.7
19602	"49149"	"TAB1RO"	423	469	"B"	"P"	NA	1	3.3	3.3	20140503	37	28	24	7.7	19.6
19608	"49150"	"HURACR"	657	672	"B"	"P"	NA	1	3.1	3.1	20140503	37	29	12	4.8	9.7
24878	"49175"	"GUSTSU"	222	237	""	""	NA	1	1.3	1.3	20140604	40	28	33	10.7	11
39525	"49185"	"CASESY"	360	465	""	"P"	NA	1	1.3	1.3	20140527	2	29	21	9.3	3.1
39562	"49188"	"SIMAAM"	259	355	""	"P"	NA	1	1.3	1.3	20140527	3	29	43	18.1	14.2
39559	"49192"	"FICUYO"	674	844	"B"	"P"	NA	1	4.8	4.8	20140527	3	29	32	12	6.4
39542	"49196"	"GUATDU"	590	590	"B"	"P"	NA	1	6.1	6.1	20140527	3	26	31	11	0.4
39539	"49199"	"GUSTSU"	379	383	""	"P"	NA	1	1.3	1.3	20140527	3	25	41	16.2	3.1
38115	"49201"	"GUATDU"	357	537	""	"P"	NA	1	1.3	1.3	20140528	5	26	11	2.1	2.3
38120	"49202"	"STERAP"	326	489	"B"	"P"	NA	1	4.7	4.7	20140528	5	26	33	10.7	11.3
38123	"49203"	"ALSEBL"	329	367	""	"P"	NA	1	1.3	1.3	20140528	5	26	41	18	3.6
38124	"49204"	"ZANTBE"	476	555	""	"P"	NA	1	1.3	1.3	20140528	5	27	11	1.9	0.8
38129	"49205"	"OCOTCE"	266	0	"Q"	"R,P"	NA	1	1.2	1.3	20140528	5	28	14	3.7	18.3
38133	"49207"	"POULAR"	438	534	"B"	"P"	NA	1	4.4	4.4	20140528	5	29	14	0.7	19.2
38134	"49208"	"VIROSE"	230	292	""	"P"	NA	1	1.3	1.3	20140528	5	29	44	15.6	17.8
38169	"49210"	"TACHVE"	428	578	"B"	"P"	NA	1	3.7	3.7	20140528	9	25	14	2.9	17
38196	"49216"	"LUEHSE"	270	555	""	"B,P"	NA	1	1.3	1.3	20140528	9	29	43	16.8	14.6
38194	"49217"	"OCOTCE"	217	63	"M"	"R,P"	8	2	1.3	1.3	20140528	9	29	13	0.2	10.3
39743	"49223"	"OCOTOB"	308	464	""	"P"	NA	1	1.3	1.3	20140529	16	29	31	14.2	1.2
39102	"49225"	"JAC1CO"	276	371	""	"P"	NA	1	1.3	1.3	20140530	17	25	14	4.1	15.7
39113	"49226"	"LINDLA"	345	345	"M"	"P,Q"	2	1	1.3	1.3	20140530	17	26	32	14.1	8.1
39121	"49228"	"LINDLA"	271	309	""	"P"	NA	2	1.3	1.3	20140530	17	27	42	15.9	5.2
39117	"49229"	"VIROSU"	777	818	"B"	"P"	NA	1	5.1	5.1	20140530	17	27	24	8.2	19.1
39135	"49232"	"DIPTPA"	615	673	"B"	"P"	NA	1	5.55	5.55	20140530	18	25	44	18.3	19.1
39045	"49236"	"QUARAS"	297	424	""	"P"	NA	1	1.3	1.3	20140530	19	25	41	19.6	0.6
39044	"49237"	"TRI2TU"	200	NA	""	"N"	NA	NA	1.3	NA	20140530	19	25	42	15.2	6.3
39084	"49241"	"TAB1GU"	240	319	""	""	NA	1	1.3	1.3	20140602	20	25	34	12.3	19.6
39884	"49255"	"QUARAS"	389	475	"B"	"P"	NA	1	4.5	4.5	20140603	32	26	13	1.8	10.3
24286	"49257"	"HURACR"	271	274	""	"P"	NA	1	1.3	1.3	20140603	32	28	23	7.3	10.8
39188	"49263"	"LUEHSE"	238	250	""	""	NA	1	1.3	1.3	20140604	35	25	41	15.5	2.7
38457	"49265"	"TAB1GU"	451	492	""	"P"	NA	1	1.3	1.3	20140605	48	26	24	8.1	19.4
39025	"49501"	"CORDAL"	275	437	""	"P"	NA	1	1.3	1.3	20140529	12	29	12	4.5	5.3
38199	"49504"	"TAB2AR"	235	315	""	"P"	NA	1	1.3	1.3	20140529	13	25	24	8.6	19.6
38212	"49506"	"TAB2AR"	272	412	""	"P"	NA	1	1.3	1.3	20140529	13	26	41	19.9	4.5
38209	"49507"	"INGAMA"	312	399	"M"	"P"	2	1	1.3	1.3	20140529	13	26	44	19.6	16.5
38213	"49508"	"SPONMO"	320	555	""	"P"	NA	1	1.3	1.3	20140529	13	27	13	1.5	10.4
38219	"49512"	"ZANTBE"	242	312	""	"P"	NA	1	1.3	1.3	20140529	13	28	42	18.1	2.8
38222	"49513"	"TAB2AR"	258	360	""	"P"	NA	1	1.3	3.78	20140529	13	29	23	9.8	10.3
38244	"49514"	"TAB2AR"	307	410	""	"P"	NA	1	1.3	3.8	20140530	14	25	41	17.6	4.8
38246	"49515"	"QUARAS"	273	304	""	"P"	NA	1	1.3	4.35	20140530	14	26	23	6.3	10.3
38252	"49517"	"BROSAL"	708	751	"B"	"P"	NA	1	3.9	3.9	20140530	14	27	23	12.6	11
39691	"49520"	"BROSAL"	762	856	"B"	"P"	NA	1	6.25	6.25	20140530	15	25	23	8.3	10.1
39705	"49521"	"TACHVE"	549	742	"B"	"P"	NA	1	4.2	4.2	20140530	15	26	41	19.3	3.7
39924	"49526"	"CAVAPL"	1402	1517	"B"	"P"	NA	1	4.7	4.7	20140602	26	25	21	7.1	4.7
39933	"49527"	"SCH1ZO"	360	360	""	"P"	NA	1	1.3	1.3	20140602	26	27	11	0.4	0.7
22432	"49543"	"QUARAS"	342	425	"B"	"P"	NA	1	4.05	4.05	20140603	28	29	33	11.1	11.9
22438	"49548"	"ALSEBL"	391	378	""	"P"	NA	1	1.3	4.35	20140603	29	25	11	0.8	0.7
22451	"49551"	"PLA2EL"	704	729	"B"	"P"	NA	1	3.9	3.9	20140603	29	26	33	13.2	10.8
22452	"49552"	"QUARAS"	378	453	"B"	"P"	NA	1	4.05	4.05	20140603	29	26	34	13.9	17.7
22455	"49555"	"TRI2TU"	266	355	""	"P"	NA	1	1.3	1.3	20140603	29	27	21	9.3	3.5
22456	"49556"	"VIROSU"	245	395	""	"P"	NA	1	1.3	1.3	20140603	29	27	31	10.4	0.7
22460	"49557"	"QUARAS"	279	315	"B"	""	NA	1	3.7	3.7	20140603	29	28	24	7.3	18.3
39228	"49572"	"VIROSP"	267	395	""	"P"	NA	1	1.3	3.35	20140604	41	26	43	16.5	14
38332	"49576"	"GUATDU"	343	NA	"B"	"P,Abejas"	NA	1	4.35	4.35	20140604	42	26	24	9.3	15.4
38337	"49577"	"QUARAS"	675	707	"B"	"P"	NA	1	4.7	4.7	20140604	42	26	44	18.1	19.7
38330	"49578"	"GUATDU"	450	470	"B"	"P"	NA	1	3.9	3.9	20140604	42	25	43	19.5	13.3
38360	"49579"	"OCOTWH"	438	518	"B"	"P"	NA	1	4.15	4.15	20140604	43	25	24	6	19.3
38361	"49580"	"BEILPE"	467	505	"B"	"P"	NA	1	4.15	4.15	20140604	43	25	24	6.2	19.2
38376	"49582"	"INGASA"	230	272	""	""	NA	1	1.3	1.3	20140604	43	27	13	1.3	10.3
38381	"49585"	"TAB2AR"	452	441	""	"P"	NA	1	1.3	4.6	20140604	43	28	31	14	1
39828	"49594"	"APEIME"	415	425	""	"P"	NA	1	1.3	1.3	20140606	45	25	14	4.2	18.6
39841	"49597"	"SPONRA"	1030	1019	"B"	"P"	NA	1	3.3	3.3	20140606	45	27	11	0.5	1
39236	"sin coordenadas"	""	258	NA	""	"N"	2	NA	1.3	NA	20140604	41	29	43	NA	NA
39885	"sin coordenadas"	""	527	NA	""	"N"	2	NA	5	NA	20140603	32	26	24	NA	NA
19070	"sin coordinas"	""	268	NA	""	"N"	NA	NA	3.6	NA	20140503	36	28	21	NA	NA
1960	NA	"LUEHSE"	697	795	"B"	""	NA	1	3.65	3.65	20140503	36	29	42	17.1	9.7
10913	NA	"ALSEBL"	NA	368	NA	"FC"	NA	1	NA	1.3	NA	34	29	24	7.1	17.5
19001	NA	"HURACR"	364	410	""	""	NA	1	1.3	1.3	20140603	33	28	43	17.3	10.1
19002	NA	"ALSEBL"	238	249	""	""	NA	1	1.3	1.3	20140604	34	28	12	1	5.6
19003	NA	"QUARAS"	229	267	""	""	NA	1	2	1.3	20140603	33	28	43	19.5	12.3
19004	NA	"LUEHSE"	350	352	"B"	""	NA	1	3.45	3.45	20140604	34	28	24	8.3	15.2
