col,row,name,date,p5,tag,dbh,comments
0,1,OH,01/06/05,31,24823,212,
0,1,OH,01/06/05,31,24823,64,
8,1,OH,01/06/05,44,24880,41,
8,1,OH,01/06/05,44,24880,50,
8,1,OH,01/06/05,44,24880,435,
9,1,OH,01/06/05,12,24890,235,
9,1,OH,01/06/05,12,24890,41,
9,1,OH,01/06/05,12,24890,24,
9,1,OH,01/06/05,12,24890,26,
9,1,OH,01/06/05,12,24890,18,
9,1,OH,01/06/05,42,24895,277,
9,1,OH,01/06/05,42,24895,40,
9,1,OH,01/06/05,42,24895,44,
9,1,OH,01/06/05,42,24895,39,
0,6,FA,02/24/05,24,35297,400,
0,6,FA,02/24/05,24,35297,42,
0,6,FA,02/24/05,24,35297,13,
0,10,FA,02/23/05,23,35238,381,
0,10,FA,02/23/05,23,35238,19,
0,10,FA,02/23/05,23,35238,17,
0,10,FA,02/23/05,34,35245,305,
0,10,FA,02/23/05,34,35245,18,
0,10,FA,02/23/05,34,35245,13,
0,13,FA,02/24/05,33,35261,471,
0,13,FA,02/24/05,33,35261,28,
0,13,FA,02/24/05,33,35261,27,
0,13,FA,02/24/05,33,35261,15,
0,13,FA,02/24/05,33,35261,28,
2,11,EV,02/23/05,31,35762,318,
2,11,EV,02/23/05,31,35762,69,
3,10,EV,02/24/05,41,35815,248,
3,10,EV,02/24/05,41,35815,209,
3,10,EV,02/24/05,41,35815,117,
3,11,EV,02/24/05,32,35804,381,
3,11,EV,02/24/05,32,35804,60,
3,11,EV,02/24/05,32,35804,25,
4,10,FA,02/24/05,23,35291,310,
4,10,FA,02/24/05,23,35291,45,
6,14,EV,02/24/05,34,35820,213,
6,14,EV,02/24/05,34,35820,103,
0,1,OH,,11,24818,364,
0,1,OH,,11,24818,28,
8,0,OH,,31,24872,504,
8,0,OH,,31,24872,350,
6,13,AH,03/02/05,22,35823,285,
6,13,AH,03/02/05,22,35823,40,
7,14,EV,03/02/05,11,35990,262,
7,14,EV,03/02/05,11,35990,11,
1,14,FA,03/02/05,21,36151,311,
1,14,FA,03/02/05,21,36151,98,
3,11,FA,03/02/05,14,35801,331,
3,11,FA,03/02/05,14,35801,184,
4,13,FA,03/02/05,24,35271,787,
4,13,FA,03/02/05,24,35271,728,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
