"tag"	"new.tag"	"sp"	"dbh04"	"dbh14"	"code04"	"code14"	"stems04"	"stems14"	"pom04"	"pom14"	"date14"	"col"	"row"	"p5"	"x"	"y"
19065	"36503"	"MACRGR"	324	403	"M"	"P"	NA	2	1.7	1.3	20140515	2	8	42	19	8.9
19021	"36901"	"ALSEBL"	209	241	""	"P"	NA	1	1.3	1.3	20140515	2	3	13	1	14.1
19507	"39879"	"QUARAS"	212	237	""	""	NA	1	1.3	1.3	20140515	1	2	31	10.7	4
19671	"46502"	"ALSEBL"	453	478	""	""	NA	1	1.3	4.3	20140523	7	3	43	15.3	13
19692	"46506"	"AST2GR"	269	279	""	"P"	NA	1	1.3	1.3	20140523	7	6	21	8	0.4
19700	"46507"	"TAB1GU"	425	542	""	"P"	NA	1	1.3	1.3	20140523	7	7	43	18	14
19668	"46520"	"TAB1RO"	605	497	""	""	NA	1	1.3	5.9	20140523	7	3	22	8	9.8
24856	"48399"	"GUSTSU"	271	278	""	"P"	NA	1	0	1.3	20140515	2	0	41	16	3.5
19001	"48401"	"HURACR"	341	402	""	"P"	NA	1	1.3	1.3	20140515	2	1	12	4	9.8
19012	"48403"	"HURACR"	843	960	""	"P"	NA	1	1.8	1.3	20140515	2	2	14	0.8	18.2
19481	"48420"	"VIROSU"	497	506	""	"P"	NA	1	2	3.3	20140515	2	9	41	19	1.3
35761	"48421"	"CECRIN"	210	355	""	"P"	NA	1	1.9	1.3	20140515	2	11	22	8	7
35770	"48423"	"ANACEX"	950	1056	""	"P,ID"	NA	1	1.3	1.3	20140515	2	13	13	0.6	11
19953	"48426"	"LONCLA"	290	298	""	"P"	NA	1	1.3	1.3	20140520	6	0	12	0.3	8.9
19144	"48430"	"HURACR"	638	738	""	"P"	NA	1	1.3	1.3	20140520	6	3	42	19.8	6.7
19998	"48437"	"HURACR"	287	337	""	"P"	NA	1	1.3	1.3	20140520	6	9	21	9.8	3
35820	"48449"	"VIROSU"	237	420	""	"P"	NA	1	1.7	1.3	20140520	6	13	23	8	13
35819	"48451"	"HURACR"	970	1007	""	"P"	NA	1	1.3	1.3	20140520	6	14	31	11	2
24814	"48636"	"GUSTSU"	211	229	""	"P"	NA	1	0	1.3	20140513	0	0	33	13	14
24817	"48638"	"SPONRA"	630	720	""	"P"	NA	1	1.8	1.3	20140513	0	1	11	1.5	2.5
24820	"48640"	"GUSTSU"	208	215	""	"P"	NA	1	0	1.3	20140513	0	1	14	2	17
24827	"48642"	"GUSTSU"	233	255	""	"P"	NA	1	0	1.3	20140513	0	1	42	17	8
24832	"48644"	"HURACR"	1140	1170	""	"P"	NA	1	0	1.3	20140513	0	2	21	8	5
19474	"48648"	"MICOAR"	206	339	""	"P"	NA	1	1.3	1.3	20140513	0	6	32	12.3	8.8
35298	"48649"	"VIROSU"	389	474	"B"	"P"	NA	1	1.3	2.65	20140513	0	6	14	2	18.7
19472	"48650"	"MICOAR"	244	312	""	"P"	NA	1	1.3	1.3	20140513	0	6	34	12	15.3
35300	"48653"	"SIMAAM"	426	575	""	"P"	NA	1	1.3	1.3	20140513	0	7	32	11	7.6
35236	"48657"	"CHR2AR"	358	376	""	"P"	NA	1	1.3	1.3	20140513	0	10	14	0.7	19.2
35239	"48658"	"TACHVE"	504	584	""	"P"	NA	1	1.3	3.95	20140513	0	10	22	5.2	5.8
35252	"48659"	"VIROSU"	270	333	""	"P"	NA	1	1.3	1.3	20140513	0	11	21	9	4
24849	"48670"	"GUSTSU"	203	230	""	"P,MED"	NA	1	1.1	1.3	20140515	1	1	22	5.2	6
24847	"48671"	"GUAPST"	621	628	"B"	"P"	NA	1	0	3.5	20140515	1	1	22	7	10
24850	"48672"	"HURACR"	652	710	""	"P"	NA	1	0	1.3	20140515	1	1	31	11	1
19478	"48685"	"SPONRA"	735	508	""	"P,MED"	NA	1	1.8	1.3	20140515	1	8	21	9.8	4
36126	"48687"	"ANACEX"	754	864	""	"P"	NA	1	1.3	1.3	20140515	1	10	11	4	4.6
36128	"48688"	"VIROSU"	519	585	""	"P"	NA	1	2.05	3.25	20140515	1	10	21	6	5
19426	"48696"	"TERMAM"	242	307	"M"	"P"	NA	2	1.3	1.3	20140519	4	0	12	0.3	5.3
19073	"48699"	"SPONRA"	664	767	""	""	NA	1	1.3	1.3	20140519	4	2	11	0.2	4
19084	"48702"	"HURACR"	1150	1265	"B"	"P"	NA	1	1.3	2.77	20140519	4	3	43	19	14.8
19086	"48703"	"LUEHSE"	306	390	""	"P"	NA	1	2.2	1.3	20140519	4	4	12	0.4	9
19485	"48706"	"HURACR"	620	785	""	"P"	NA	1	1.3	1.3	20140519	4	9	21	9	4.8
35289	"48709"	"SPONRA"	425	460	""	"P"	NA	1	1.3	1.3	20140519	4	10	12	0.1	6.3
35296	"48710"	"HYERAL"	505	612	""	"P"	NA	1	1.3	1.3	20140519	4	10	42	16	9.9
