col,row,name,date,p5,tag,sp,dbh,
0,1,FA,02/09/2005,13,29406,OCOTWH,466,
0,1,FA,02/09/2005,13,29406,OCOTWH,32,
0,4,FA,02/09/2005,11,29427,ALCHCO,420,
0,4,FA,02/09/2005,11,29427,ALCHCO,119,
0,4,FA,02/09/2005,11,29427,ALCHCO,51,
0,4,FA,02/09/2005,11,29427,ALCHCO,60,
0,4,FA,02/09/2005,11,29427,ALCHCO,50,
0,4,FA,02/09/2005,11,29427,ALCHCO,62,
0,4,FA,02/09/2005,11,29427,ALCHCO,20,
0,5,FA,02/09/2005,11,29434,LINDLA,201,
0,5,FA,02/09/2005,11,29434,LINDLA,22,
0,5,FA,02/09/2005,11,29434,LINDLA,22,
0,5,FA,02/09/2005,11,29434,LINDLA,18,
0,5,FA,02/09/2005,11,29434,LINDLA,17,
0,10,FA,02/10/2005,44,29468,APEIME,577,
0,10,FA,02/10/2005,44,29468,APEIME,491,
0,12,FA,02/10/2005,14,29480,ALSEBL,252,
0,12,FA,02/10/2005,14,29480,ALSEBL,35,
1,3,FA,02/11/2005,11,24969,CECRIN,240,
1,3,FA,02/11/2005,11,24969,CECRIN,165,
1,7,FA,02/11/2005,32,24950,HIRTTR,247,
1,7,FA,02/11/2005,32,24950,HIRTTR,164,
1,12,FA,02/10/2005,14,29489,HIRTAM,273,
1,12,FA,02/10/2005,14,29489,HIRTAM,26,
1,12,FA,02/10/2005,14,29489,HIRTAM,14,
1,12,FA,02/10/2005,33,29493,ALSEBL,225,
1,12,FA,02/10/2005,33,29493,ALSEBL,44,
3,4,EV,02/11/2005,42,29916,PROTTE,330,
3,4,EV,02/11/2005,42,29916,PROTTE,131,
3,9,EV,02/11/2005,11,29946,LINDLA,228,
3,9,EV,02/11/2005,11,29946,LINDLA,49,
3,10,EV,02/17/2005,22,29952,GUSTSU,217,
3,10,EV,02/17/2005,22,29952,GUSTSU,120,
3,10,EV,02/17/2005,22,29952,GUSTSU,103,
3,12,EV,02/17/2005,11,29958,HYERAL,299,
3,12,EV,02/17/2005,11,29958,HYERAL,31,
4,1,FA,02/18/2005,44,35118,ALCHCO,265,
4,1,FA,02/18/2005,44,35118,ALCHCO,39,
4,1,FA,02/18/2005,44,35118,ALCHCO,33,
4,1,FA,02/18/2005,44,35118,ALCHCO,24,
4,1,FA,02/18/2005,44,35118,ALCHCO,18,
4,1,FA,02/18/2005,44,35118,ALCHCO,19,
4,1,FA,02/18/2005,44,35118,ALCHCO,11,
4,1,FA,02/18/2005,44,35118,ALCHCO,10,
4,1,FA,02/18/2005,44,35118,ALCHCO,10,
4,1,FA,02/18/2005,44,35118,ALCHCO,13,
4,3,FA,02/18/2005,24,35096,PROTTE,420,
4,3,FA,02/18/2005,24,35096,PROTTE,34,
4,3,FA,02/18/2005,24,35096,PROTTE,20,
4,6,FA,02/18/2005,21,35079,NECTCI,330,
4,6,FA,02/18/2005,21,35079,NECTCI,33,
4,6,FA,02/18/2005,21,35079,NECTCI,20,
4,6,FA,02/18/2005,21,35079,NECTCI,23,
4,6,FA,02/18/2005,21,35079,NECTCI,10,
4,6,FA,02/18/2005,21,35079,NECTCI,10,
4,6,FA,02/18/2005,21,35079,NECTCI,12,
4,6,FA,02/18/2005,33,35080,PROTTE,562,
4,6,FA,02/18/2005,33,35080,PROTTE,46,
4,14,FA,02/17/2005,13,35021,UNK?,454,
4,14,FA,02/17/2005,13,35021,UNK?,18,
4,14,FA,02/17/2005,13,35021,UNK?,17,
5,0,EV,02/18/2005,41,35554,JAC1CO,217,
5,0,EV,02/18/2005,41,35554,JAC1CO,175,
5,4,EV,02/18/2005,32,35532,ALCHCO,443,
5,4,EV,02/18/2005,32,35532,ALCHCO,390,
5,6,EV,02/18/2005,11,35516,ALCHCO,356,
5,6,EV,02/18/2005,11,35516,ALCHCO,141,
5,6,EV,02/18/2005,13,35519,MACRGL,288,
5,6,EV,02/18/2005,13,35519,MACRGL,32,
5,6,EV,02/18/2005,32,35523,GUAZUL,407,
5,6,EV,02/18/2005,32,35523,GUAZUL,181,
5,6,EV,02/18/2005,32,35523,GUAZUL,119,
5,7,EV,02/18/2005,12,35509,MACRGL,345,
5,7,EV,02/18/2005,12,35509,MACRGL,103,
5,7,EV,02/18/2005,12,35509,MACRGL,83,
5,9,EV,02/18/2005,13,35501,HIRTTR,350,
5,9,EV,02/18/2005,13,35501,HIRTTR,222,
6,8,EV,02/21/2005,11,35617,GUARGU,229,
6,8,EV,02/21/2005,11,35617,GUARGU,21,
6,8,EV,02/21/2005,12,35618,ALCHCO,370,
6,8,EV,02/21/2005,12,35618,ALCHCO,48,
6,8,EV,02/21/2005,12,35618,ALCHCO,33,
6,8,EV,02/21/2005,12,35618,ALCHCO,15,
6,8,EV,02/21/2005,12,35618,ALCHCO,19,
6,8,EV,02/21/2005,12,35618,ALCHCO,15,
6,10,EV,02/22/2005,31,35637,MACRGL,220,
6,10,EV,02/22/2005,31,35637,MACRGL,62,
6,14,EV,02/22/2005,11,35656,ALSEBL,455,
6,14,EV,02/22/2005,11,35656,ALSEBL,60,
6,14,EV,02/22/2005,11,35656,ALSEBL,13,
7,2,BB,02/21/2005,24,36012,PHOECI,422,
7,2,BB,02/21/2005,24,36012,PHOECI,36,
7,2,BB,02/21/2005,24,36012,PHOECI,20,
7,2,BB,02/21/2005,24,36012,PHOECI,18,
7,2,BB,02/21/2005,24,36012,PHOECI,18,
7,2,BB,02/21/2005,24,36012,PHOECI,19,
7,7,BB,02/21/2005,34,36052,UNK?,212,
7,7,BB,02/21/2005,34,36052,UNK?,29,
7,9,BB,02/22/2005,14,36061,PROTTE,477,
7,9,BB,02/22/2005,14,36061,PROTTE,46,
7,9,BB,02/22/2005,44,36064,MACRGL,301,
7,9,BB,02/22/2005,44,36064,MACRGL,111,
8,1,FA,02/22/2005,14,35129,MACRGL,575,
8,1,FA,02/22/2005,14,35129,MACRGL,108,
8,1,FA,02/22/2005,14,35129,MACRGL,57,
8,1,FA,02/22/2005,42,35131,MACRGL,578,
8,1,FA,02/22/2005,42,35131,MACRGL,20,
8,2,FA,02/22/2005,11,35134,GUARGU,246,
8,2,FA,02/22/2005,11,35134,GUARGU,62,
8,2,FA,02/22/2005,32,35136,ALSEBL,452,
8,2,FA,02/22/2005,32,35136,ALSEBL,16,
8,2,FA,02/22/2005,33,35137,PROTTE,255,
8,2,FA,02/22/2005,33,35137,PROTTE,42,
8,6,FA,02/22/2005,12,35165,CORDAL,245,
8,6,FA,02/22/2005,12,35165,CORDAL,85,
8,9,FA,02/22/2005,34,35187,NECTCI,207,
8,9,FA,02/22/2005,34,35187,NECTCI,30,
8,9,FA,02/22/2005,34,35187,NECTCI,15,
8,11,FA,02/23/2005,32,35200,POSOLA,230,
8,11,FA,02/23/2005,32,35200,POSOLA,29,
9,1,EV,02/23/2005,32,35729,ANACEX,1574,
9,1,EV,02/23/2005,32,35729,ANACEX,196,
9,2,EV,02/23/2005,23,35722,PROTTE,321,
9,2,EV,02/23/2005,23,35722,PROTTE,224,
9,4,EV,02/23/2005,13,35712,ALCHCO,412,
9,4,EV,02/23/2005,13,35712,ALCHCO,50,
9,4,EV,02/23/2005,13,35712,ALCHCO,35,
9,4,EV,02/23/2005,13,35712,ALCHCO,40,
9,4,EV,02/23/2005,13,35712,ALCHCO,32,
9,4,EV,02/23/2005,13,35712,ALCHCO,31,
9,4,EV,02/23/2005,13,35712,ALCHCO,25,
9,4,EV,02/23/2005,13,35712,ALCHCO,20,
9,4,EV,02/23/2005,13,35710,APEITI,361,
9,4,EV,02/23/2005,13,35710,APEITI,11,
9,7,EV,02/23/2005,12,35690,MACRGL,324,
9,7,EV,02/23/2005,12,35690,MACRGL,160,
9,7,EV,02/23/2005,12,35690,MACRGL,34,
9,7,EV,02/23/2005,12,35690,MACRGL,15,
9,9,EV,02/22/2005,13,35678,PROTTE,380,
9,9,EV,02/22/2005,13,35678,PROTTE,117,
9,14,BB,02/22/2005,43,36116,MACRGL,411,
9,14,BB,02/22/2005,43,36116,MACRGL,57,
9,14,BB,02/22/2005,43,36116,MACRGL,12,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
