"tag"	"new.tag"	"sp"	"dbh04"	"dbh14"	"code04"	"code14"	"stems04"	"stems14"	"pom04"	"pom14"	"date14"	"col"	"row"	"p5"	"x"	"y"
35599	35559	"JAC1CO"	475	494	""	"P"	NA	1	1.3	1.3	20140613	6	6	11	3	4
35092	48029	"VIROSU"	436	514	"B"	"P"	NA	1	3.2	3.2	20140612	4	4	31	13.2	3.4
35079	48030	"NECTCI"	334	72	"MQ"	"R,P"	NA	1	1.3	1.3	20140612	4	6	21	6	0.2
35044	48036	"HYERAL"	450	491	""	"P"	NA	1	1.3	1.3	20140612	4	11	33	14.8	14.8
35026	48042	"PRI2CO"	360	481	""	"P"	NA	1	1.3	1.3	20140612	4	14	43	16.3	11
35563	48044	"PROTTE"	248	255	""	"P"	NA	1	1.3	1.3	20140613	6	1	34	10.2	16
35575	48047	"JAC1CO"	478	588	""	"P"	NA	1	1.3	1.3	20140613	6	2	44	18	16
35593	48052	"GENIAM"	272	272	""	"P"	NA	1	1.3	1.3	20140613	6	5	23	9.1	10.2
35600	48053	"HIRTAM"	257	257	""	"P"	NA	1	1.3	1.3	20140613	6	6	22	7	7
35603	48054	"ASPICR"	320	395	""	"P"	NA	1	1.3	1.3	20140613	6	6	32	12.2	6
35614	48057	"GUSTSU"	220	228	"L"	"P"	NA	1	1.3	1.3	20140613	6	7	42	16	8.9
35606	48059	"PROTTE"	334	362	""	"P"	NA	1	1.3	1.3	20140613	6	7	12	1	8
35619	48061	"SWARS1"	262	263	""	"P"	NA	1	1.3	1.3	20140613	6	8	12	3	7
35647	48066	"QUARAS"	444	495	"B"	"P"	NA	1	2.7	2.7	20140613	6	11	43	17.8	11.5
35651	48069	"PRI2CO"	300	459	""	"P"	NA	1	1.3	1.3	20140613	6	12	41	16	2.4
35656	48074	"ALSEBL"	459	478	"BM"	"P"	NA	1	3.54	3.54	20140613	6	14	11	2	4
35660	48075	"TET2PA"	435	526	""	"P"	NA	1	1.3	1.3	20140613	6	14	22	9.6	6.9
36114	48076	"PROTTE"	437	468	""	"Q,P"	NA	2	1.3	1.3	20140616	9	14	23	7	10.6
36111	48079	"PRI2CO"	206	350	""	"P"	NA	1	1.3	1.3	20140616	9	13	42	15.5	9
36100	48080	"PRI2CO"	654	766	""	""	NA	1	1.3	1.3	20140616	9	12	33	10.1	14.9
35672	48084	"CEIBPE"	0	2280	"B"	"P"	NA	1	1.3	9.15	20140616	9	10	22	9.8	9.9
35689	48092	"ASPICR"	975	1009	"B"	"P"	NA	1	3.3	3.3	20140617	9	7	11	3.6	3.5
35694	48093	"ALCHCO"	355	367	""	""	NA	1	1.3	2.35	20140617	9	7	41	18	3
35698	48095	"UNK?"	439	600	""	""	NA	1	1.3	1.3	20140617	9	6	32	14	8
35718	48097	"PRI2CO"	661	746	""	"P"	NA	1	1.3	1.3	20140617	9	4	44	17	18
24977	48824	"PROTTE"	360	415	""	"P"	NA	1	1.3	1.3	20140611	1	1	21	7	4
24975	48826	"DIPTPA"	272	378	""	"P"	NA	1	1.3	1.3	20140611	1	2	43	15.2	13.5
24968	48830	"OCOTWH"	535	615	""	"P"	NA	2	1.3	3.8	20140611	1	3	13	0.1	11.2
24967	48831	"SYMPGL"	375	485	""	"P"	NA	1	1.3	1.3	20140611	1	4	41	17.2	1.3
24934	48835	"PRI2CO"	426	538	""	"P"	NA	1	1.3	1.3	20140611	1	9	32	12.2	9.9
29487	48837	"TRI2TU"	262	270	""	""	NA	1	1.3	1.3	20140611	1	12	12	2.9	9.2
36002	48838	"CALOLO"	443	699	""	"P"	NA	1	1.3	1.3	20140613	7	0	22	5.1	6
36010	48845	"JAC1CO"	594	725	""	"P"	NA	1	1.3	1.3	20140613	7	2	12	4	9.7
36021	48848	"ANNOSP"	333	379	""	"P"	NA	1	1.3	1.3	20140613	7	3	22	5	5
36025	48850	"SIMAAM"	209	370	""	"P"	NA	1	1.3	1.3	20140613	7	4	12	1.9	8
36046	48855	"UNK?"	343	343	""	"P"	NA	1	1.3	1.3	20140613	7	6	41	17	4
36052	48857	"UNK?"	214	211	"M"	"P"	NA	2	1.3	1.3	20140613	7	7	34	14.9	17
36065	48860	"VIROSU"	525	625	"B"	"P"	NA	1	3.2	3.2	20140613	7	9	44	16.2	16
36077	48862	"PRI2CO"	496	659	""	"P"	NA	1	1.3	1.3	20140616	7	11	34	14.2	17
36083	48863	"POCHSE"	630	662	"B"	"P"	NA	1	3.05	3.05	20140616	7	12	21	9.8	1
36085	48865	"TET2PA"	389	419	""	"P"	NA	1	1.3	1.3	20140616	7	12	44	19	19
36091	48865	"PRI2CO"	441	604	""	"P"	NA	1	1.3	1.3	20140616	7	13	33	12	13
36094	48866	"TET2PA"	677	744	"B"	"P"	NA	1	2.96	2.96	20140616	7	14	11	3	4
29412	49275	"VIROSP"	248	430	""	""	NA	1	1.3	1.3	20140610	0	2	14	3	17
29418	49276	"LICAPL"	303	481	""	"P"	NA	1	1.3	1.3	20140610	0	2	43	17.8	10.3
29416	49277	"VIROSU"	235	347	""	"P"	NA	1	1.3	1.3	20140610	0	2	41	18.3	2
29430	49279	"TET2PA"	457	475	"B"	"P"	NA	1	3.6	3.6	20140610	0	4	21	8.1	4.9
29456	49285	"VOCHFE"	350	490	""	""	NA	1	1.3	1.3	20140610	0	9	24	7	19.9
29463	49286	"VOCHFE"	393	590	""	"P"	NA	1	1.3	1.3	20140610	0	10	13	1.3	10.2
29113	49288	"POULAR"	287	385	""	"P"	NA	1	1.3	3.35	20140611	2	2	11	0.3	1
29127	49292	"PRI2CO"	420	510	""	"P"	NA	1	1.3	1.3	20140611	2	5	22	7	9.9
35001	49295	"BROSAL"	905	977	"B"	"P"	NA	1	3.94	3.94	20140611	2	9	14	3	15.1
35015	49297	"VOCHFE"	249	427	""	"P"	NA	1	1.3	1.3	20140611	2	11	42	17	7.5
29909	49300	"INGASA"	255	299	""	"Q,P"	NA	2	1.3	1.3	20140612	3	2	12	0.3	9.7
29946	49303	"LINDLA"	233	232	"M"	"P"	NA	5	1.3	1.3	20140612	3	9	11	3	3.2
29956	49309	"SIMAAM"	353	450	""	""	NA	1	1.3	1.3	20140612	3	11	44	17	19.2
29966	49310	"AST2GR"	299	328	""	"P"	NA	1	1.3	1.3	20140612	3	13	33	13	13
35554	49314	"JAC1CO"	279	242	"M"	"P"	NA	1	1.3	1.3	20140613	5	0	41	18	4
35549	49320	"AST2GR"	338	357	"B"	"P"	NA	1	2.8	2.8	20140613	5	1	34	13	17.5
35545	49322	"PRI2CO"	315	460	""	"P"	NA	1	1.3	1.3	20140613	5	2	42	19	8.6
35526	49325	"UNK?"	292	377	""	"P"	NA	1	1.3	1.3	20140613	5	5	41	18	2
35517	49327	"JAC1CO"	492	600	""	""	NA	1	1.3	1.3	20140613	5	6	12	2	8
