col,row,name,date,p5,tag,dbh,comments
0,4,FA,02/25/05,24,35314,236,
0,4,FA,02/25/05,24,35314,15,
0,4,FA,02/25/05,24,35314,10,
1,1,BB,02/25/05,32,36213,316,
1,1,BB,02/25/05,32,36213,166,
1,4,BB,02/25/05,32,36233,277,
1,4,BB,02/25/05,32,36233,167,
1,8,BB,02/25/05,22,36253,203,
1,10,BB,02/28/05,32,36258,294,
1,10,BB,02/28/05,32,36258,102,
1,10,BB,02/28/05,32,36258,56,
1,10,BB,02/28/05,32,36258,20,
1,10,BB,02/28/05,32,36258,27,
1,10,BB,02/28/05,32,36258,38,
1,10,BB,02/28/05,32,36258,194,
1,10,BB,02/28/05,32,36258,176,
1,10,BB,02/28/05,32,36258,37,
1,10,BB,02/28/05,32,36258,23,
1,10,BB,02/28/05,32,36258,11,
1,10,BB,02/28/05,32,36258,26,
1,10,BB,02/28/05,32,36258,144,
1,10,BB,02/28/05,32,36258,75,
1,10,BB,02/28/05,32,36258,48,
1,10,BB,02/28/05,32,36258,41,
1,10,BB,02/28/05,32,36258,36,
1,13,BB,02/28/05,12,36269,250,
1,13,BB,02/28/05,14,36271,219,
1,13,BB,02/28/05,14,36271,35,
2,6,EV,02/25/05,23,35872,224,
2,6,EV,02/25/05,23,35872,39,
2,6,EV,02/25/05,23,35872,15,
2,6,EV,02/25/05,23,35872,106,
2,6,EV,02/25/05,23,35872,31,
2,6,EV,02/25/05,23,35872,44,
2,6,EV,02/25/05,23,35872,19,
2,7,EV,02/25/05,23,35874,258,
2,7,EV,02/25/05,23,35874,54,
2,7,EV,02/25/05,23,35874,31,
2,7,EV,02/25/05,23,35874,104,
2,7,EV,02/25/05,23,35874,49,
2,7,EV,02/25/05,23,35874,31,
2,7,EV,02/25/05,23,35874,77,
2,7,EV,02/25/05,23,35874,32,
2,11,EV,02/28/05,22,35899,316,
2,11,EV,02/28/05,22,35899,21,
2,11,EV,02/28/05,22,35899,26,
2,11,EV,02/28/05,22,35899,20,
2,11,EV,02/28/05,22,35899,24,
2,11,EV,02/28/05,22,35899,16,
2,14,EV,02/28/05,13,35911,284,
2,14,EV,02/28/05,13,35911,44,
3,2,EV,03/02/05,22,37001,233,
3,2,EV,03/02/05,22,37001,63,
3,4,EV,03/01/05,21,35974,235,
3,4,EV,03/01/05,21,35974,32,
3,4,EV,03/01/05,21,35974,130,
3,4,EV,03/01/05,21,35974,24,
3,4,EV,03/01/05,21,35974,37,
4,5,BB,03/02/05,44,36359,257,
4,5,BB,03/02/05,44,36359,157,
4,7,BB,03/01/05,33,36937,341,
4,7,BB,03/01/05,33,36937,143,
4,8,BB,03/01/05,43,36333,271,
4,8,BB,03/01/05,43,36333,174,
5,10,BB,03/08/05,21,36452,249,
5,10,BB,03/08/05,21,36452,13,
5,10,BB,03/08/05,21,36452,11,
5,10,BB,03/08/05,21,36452,12,
6,2,FA,03/04/05,42,35399,385,
6,2,FA,03/04/05,42,35399,29,
6,2,FA,03/04/05,42,35399,17,
6,5,FA,03/04/05,24,35414,241,
6,5,FA,03/04/05,24,35414,27,
6,5,FA,03/04/05,32,35418,252,
6,5,FA,03/04/05,32,35418,53,
6,5,FA,03/04/05,32,35418,22,
6,5,FA,03/04/05,32,35418,47,
6,5,FA,03/04/05,32,35418,28,
6,6,FA,03/07/05,44,35429,411,
6,6,FA,03/07/05,44,35429,21,
6,6,FA,03/07/05,44,35429,17,
6,6,FA,03/07/05,44,35429,55,
6,6,FA,03/07/05,44,35429,11,
6,6,FA,03/07/05,44,35429,10,
6,6,FA,03/07/05,44,35429,32,
6,6,FA,03/07/05,44,35429,16,
6,7,FA,03/07/05,33,35431,235,
6,7,FA,03/07/05,33,35431,137,
6,9,FA,03/07/05,12,35438,322,
6,9,FA,03/07/05,43,35441,275,
6,9,FA,03/07/05,43,35441,70,
6,9,FA,03/07/05,43,35441,128,
6,14,FA,03/07/05,32,35475,280,
6,14,FA,03/07/05,43,35478,238,
6,14,FA,03/07/05,43,35478,136,
6,14,FA,03/07/05,43,35478,62,
7,1,FA,03/08/05,24,35490,378,
7,1,FA,03/08/05,24,35490,16,
7,1,FA,03/08/05,24,35490,39,
7,1,FA,03/08/05,24,35490,14,
7,1,FA,03/08/05,24,35490,10,
7,1,FA,03/08/05,21,35492,315,
7,1,FA,03/08/05,21,35492,85,
7,1,FA,03/08/05,21,35492,100,
7,1,FA,03/08/05,21,35492,49,
7,1,FA,03/08/05,21,35492,18,
7,1,FA,03/08/05,21,35492,23,
7,2,FA,03/08/05,43,35495,252,
7,2,FA,03/08/05,43,35495,11,
7,3,FA,03/08/05,21,35498,215,
7,3,FA,03/08/05,21,35498,10,
7,4,FA,03/08/05,34,36909,342,
7,4,FA,03/08/05,34,36909,320,
7,4,FA,03/08/05,34,36909,45,
7,6,FA,03/08/05,11,36917,415,
7,6,FA,03/08/05,11,36917,20,
7,6,FA,03/08/05,11,36917,104,
7,6,FA,03/08/05,11,36917,35,
8,3,EV,03/08/05,12,37028,226,
8,3,EV,03/08/05,12,37028,36,
9,0,BB,03/09/05,41,37172,382,
9,0,BB,03/09/05,41,37172,41,
9,0,BB,03/09/05,41,37172,169,
9,0,BB,03/09/05,41,37172,25,
9,0,BB,03/09/05,41,37172,21,
9,1,EV,03/09/05,11,37160,969,
9,1,EV,03/09/05,11,37160,33,
9,5,BB,03/09/05,44,37144,208,
9,5,BB,03/09/05,44,37144,20,
9,5,BB,03/09/05,44,37144,72,
9,5,BB,03/09/05,44,37144,19,
9,5,BB,03/09/05,44,37144,55,
9,12,BB,03/09/05,41,36490,263,
9,12,BB,03/09/05,41,36490,128,
2,7,,,32,35876,384,
2,7,,,32,35876,149,
2,11,,,13,35898,634,
2,11,,,13,35898,19,
2,10,,,23,35892,512,
2,10,,,23,35892,12,
2,10,,,23,35892,11,
2,10,,,23,35892,10,
3,5,,,42,35968,465,
3,5,,,42,35968,27,
3,5,,,42,35968,15,
3,5,,,42,35968,14,
3,10,,,34,35942,614,
3,10,,,34,35942,63,
5,11,,,13,36455,497,
5,11,,,13,36455,310,
5,11,,,13,36455,461,
5,5,,,21,36427,507,
5,5,,,21,36427,20,
6,5,,,43,35421,501,
6,5,,,43,35421,327,
7,5,,,34,36916,487,
7,5,,,34,36916,284,
8,5,,,34,37047,258,
8,5,,,34,37047,104,
8,6,,,44,37056,580,
8,6,,,44,37056,18,
7,9,,,21,36935,390,
7,9,,,21,36935,312,
9,9,,,34,37110,354,
9,9,,,34,37110,262,
9,4,,,22,37148,382,
9,4,,,22,37148,88,
9,4,,,22,37148,20,
9,4,,,22,37148,15,
