"tag"	"new.tag"	"sp"	"dbh04"	"dbh14"	"code04"	"code14"	"stems04"	"stems14"	"pom04"	"pom14"	"date14"	"col"	"row"	"p5"	"x"	"y"
37147	37145	"VIROSU"	0	300	"B"	"P"	NA	1	1.3	1.3	20140630	9	5	43	18	14
36206	48951	"ORMOMA"	622	704	"B"	"P"	NA	1	3.75	3.75	20140625	1	0	12	4.9	9.1
36259	48962	"SPONRA"	588	617	""	"P"	NA	1	1.3	1.3	20140625	1	10	42	17	8
36262	48963	"ANACEX"	775	811	""	"P"	NA	1	1.3	1.3	20140625	1	11	33	14	12
36269	48965	"INGA SP"	250	460	"M"	"P"	NA	2	1.3	2.85	20140625	1	13	12	3.1	8.1
36272	48967	"ANACEX"	499	558	""	"P"	NA	1	1.3	2.85	20140625	1	13	41	15	3.6
36379	48971	"UNK?"	237	439	""	"P"	NA	1	1.3	1.3	20140626	4	2	42	17	8
36372	48972	"DIPTPA"	639	691	"B"	"P"	NA	1	3.38	3.38	20140626	4	3	21	5.5	4.3
36374	48973	"LUEHSE"	635	682	"B"	"P"	NA	1	3.7	3.7	20140626	4	3	43	18	10.2
36352	48977	"ANACEX"	767	816	""	"P"	NA	1	1.3	1.3	20140626	4	5	14	1.3	15
36330	48980	"SCH1ZO"	264	282	""	"P"	NA	1	1.3	1.3	20140626	4	8	32	13.4	9.9
36320	48988	"VOCHFE"	272	469	""	"P"	NA	1	1.3	1.3	20140626	4	11	32	11.8	7
36316	48990	"CALOLO"	477	585	""	"P"	NA	1	1.3	1.3	20140626	4	12	32	13	7
36312	48992	"SCH1ZO"	334	323	""	"P"	NA	1	1.3	1.3	20140626	4	14	41	17	2.8
35486	48998	"BEILPE"	413	495	""	"P"	NA	1	1.3	1.3	20140627	7	0	33	14.9	11.4
35491	49000	"VIROSU"	270	397	""	"P"	NA	1	1.3	1.3	20140627	7	1	22	5.3	5.1
35335	49406	"TACHVE"	381	620	""	"P"	NA	1	1.3	3.65	20140625	0	7	22	5.2	5.7
36290	49411	"TACHVE"	687	822	"B"	"P"	NA	1	3.36	4.75	20140625	0	12	31	13	3
36292	49413	"APEIME"	485	550	""	"P"	NA	1	1.3	1.3	20140625	0	12	43	17.2	13
36281	49416	"ANACEX"	408	500	""	"P"	NA	1	1.3	1.3	20140625	0	14	22	7	8.9
36283	49417	"OCOTOB"	329	355	""	"P"	NA	1	1.3	1.3	20140625	0	14	34	12	17.8
36285	49418	"ANACEX"	1014	1090	""	"P"	NA	1	1.3	1.3	20140625	0	14	44	17	19.9
37009	49419	"TRI2TU"	361	385	""	"P"	NA	1	1.3	1.3	20140626	3	0	12	0.3	9.5
37011	49421	"JAC1CO"	411	470	""	"P"	NA	1	1.3	1.3	20140626	3	0	44	18	17.5
35991	49425	"ANACEX"	1281	1285	"B"	"P"	NA	1	3.28	3.28	20140626	3	3	12	4.5	5.3
35993	49426	"DIPTPA"	290	275	""	"P"	NA	1	1.3	4.27	20140626	3	3	23	7	10.4
35959	49432	"SCH2MO"	438	555	""	"P"	NA	1	1.3	1.3	20140626	3	7	33	12	13
35949	49434	"JAC1CO"	453	539	""	"P"	NA	1	1.3	1.3	20140626	3	8	24	6	15.3
35952	49435	"DIPTPA"	703	725	"B"	"P"	NA	1	3.3	3.3	20140626	3	8	33	12	12
35946	49436	"JAC1CO"	602	612	""	"P"	NA	1	1.3	1.3	20140626	3	9	21	8	3
35947	49437	"TET2PA"	365	375	""	"P"	NA	1	1.3	1.3	20140626	3	9	21	8.7	0.2
35930	49440	"DIPTPA"	420	495	"B"	"P"	NA	1	3.48	3.48	20140626	3	12	23	9.5	13
35923	49444	"HYERAL"	545	564	"B"	"P"	NA	1	3.37	3.37	20140626	3	13	14	0.2	19.6
35375	49447	"PIT1MA"	496	625	""	"P"	NA	1	1.3	1.3	20140627	6	0	13	0.2	10.1
35378	49448	"HIRTAM"	226	359	""	"P"	NA	1	1.3	1.3	20140627	6	0	33	13.2	11.3
35382	49449	"HYERAL"	729	770	"B"	"P"	NA	1	3.12	3.12	20140627	6	1	14	4.9	17.7
35391	49451	"CHR2CA"	417	517	"B"	"P"	NA	1	3.38	3.38	20140627	6	2	11	1	4
35401	49452	"SPONRA"	520	575	""	"P"	NA	1	1.3	1.3	20140627	6	3	12	2	5.2
35429	49456	"MACRGL"	417	472	"M"	"P"	NA	5	1.3	1.3	20140627	6	6	44	17.8	19.3
35432	49457	"SPONMO"	875	914	""	"P"	NA	1	1.3	1.3	20140627	6	7	43	17.2	14.8
35436	49463	"JAC1CO"	221	444	""	"P"	NA	1	1.3	1.3	20140627	6	8	33	12	11
35435	49464	"VOCHFE"	285	480	""	"P"	NA	1	1.3	1.3	20140627	6	8	14	1.6	15.1
35439	49465	"ENTESC"	809	859	""	"P"	NA	1	1.3	1.3	20140627	6	9	13	2.8	14.9
35448	49468	"VOCHFE"	283	450	""	"P"	NA	1	1.3	1.3	20140627	6	10	33	10.1	11
35449	49469	"SPONRA"	458	530	""	"P"	NA	1	1.3	1.3	20140627	6	10	34	11.2	15.1
35460	49470	"JAC1CO"	620	644	"B"	"P"	NA	1	3	3	20140627	6	12	11	0.1	2.3
35479	49472	"HYERAL"	482	545	""	"P"	NA	1	1.3	1.3	20140627	6	14	42	19.2	8.3
35477	49473	"MACRGL"	259	295	""	"P"	NA	1	1.3	1.3	20140627	6	14	44	18.5	15.6
35476	49474	"VIROSU"	734	701	""	"Q,P"	NA	1	1.3	4.1	20140627	6	14	44	15.1	18.9
36980	49475	"HYERAL"	605	674	"B"	"P"	NA	1	2.06	2.06	20140630	9	13	23	8.5	12
36487	49480	"PIT1MA"	404	515	""	"P"	NA	1	1.3	1.3	20140630	9	12	32	11	5
36493	49482	"BEILPE"	244	277	""	"P"	NA	1	1.3	1.3	20140630	9	11	22	9	6
37102	49483	"VIROSU"	525	633	""	"P"	NA	1	1.3	1.3	20140630	9	10	44	15	18.4
36500	49484	"TRATAS"	309	380	""	"P"	NA	1	1.3	1.3	20140630	9	10	42	15	9
37109	49485	"POUTFO"	207	322	""	"P"	NA	1	1.3	1.3	20140630	9	9	32	10.1	9
37119	49487	"VIROSU"	664	752	""	"P"	NA	1	1.3	1.3	20140630	9	8	34	14	17
37129	49493	"VIROSU"	338	488	""	"P"	NA	1	1.3	1.3	20140630	9	6	24	9.3	19.8
37132	49494	"SIMAAM"	221	336	""	""	NA	1	1.3	1.3	20140630	9	6	34	14	15
37131	49495	"VIROSU"	224	352	""	"P"	NA	1	1.3	1.3	20140630	9	6	43	15	10.1
37146	49497	"VIROSU"	239	810	""	"P"	NA	1	1.3	1.3	20140630	9	5	43	18	12.4
37153	49499	"SYMPGL"	207	270	""	"P"	NA	1	1.3	1.3	20140630	9	2	12	1.2	8.3
37156	49500	"XYL1MA"	239	244	""	"P"	NA	1	1.3	1.3	20140630	9	2	33	11	13
35860	49750	"PROTTE"	291	382	""	"P"	NA	1	1.3	1.3	20140625	2	4	11	1.9	0.6
35886	49756	"JAC1CO"	663	715	""	"P"	NA	1	1.3	1.3	20140625	2	9	31	10.3	2.4
35887	49757	"BEILPE"	366	425	""	"P"	NA	1	1.3	1.3	20140625	2	9	42	16	8.7
35889	49758	"INGAFA"	223	233	""	"P"	NA	1	1.3	1.3	20140625	2	9	34	12.5	19.8
35893	49759	"ANACEX"	645	713	""	"P"	NA	1	1.3	1.3	20140625	2	10	21	9.7	2.1
35899	49760	"NECTCI"	320	41	"M"	"R,P"	NA	2	1.3	1.3	20140625	2	11	22	9	8
35902	49762	"TAB1GU"	563	560	""	"P"	NA	1	1.3	1.3	20140625	2	11	34	12	18
36411	49767	"GUAPST"	880	969	"B"	"P"	NA	1	3.1	3.1	20140626	5	3	21	7	4.3
36433	49771	"SCH1ZO"	263	272	""	"P"	NA	1	1.3	1.3	20140626	5	6	33	10	10
36452	49784	"LINDLA"	250	250	"M"	"P"	NA	4	1.3	1.3	20140626	5	10	21	7	3
36477	49793	"ANACEX"	768	828	""	"P"	NA	1	1.3	1.3	20140626	5	14	22	7.5	5
36481	49794	"OCOT SP"	248	357	""	"P"	NA	3	1.3	1.3	20140626	5	14	41	17	1
37017	49796	"ANACEX"	1230	1305	""	"P"	NA	1	1.3	1.3	20140627	8	1	11	2	2
37069	49803	"SCH1ZO"	327	327	""	"P"	NA	1	1.3	1.3	20140627	8	8	32	12.2	6.3
37073	49805	"SPONRA"	369	424	""	"P"	NA	1	1.3	1.3	20140627	8	9	23	6.8	12.5
37080	49809	"TERMAM"	960	1010	"B"	"P"	NA	1	3.28	3.28	20140627	8	11	24	9.7	19
36925	49915	"SPONRA"	533	569	""	"P"	NA	1	1.3	1.3	20140627	7	7	43	18	11
36941	49918	"TERMAM"	368	442	""	"P"	NA	1	1.3	3	20140627	7	10	13	1	14
36948	49919	"VOCHFE"	365	555	""	"P"	NA	1	1.3	1.3	20140627	7	11	33	12	12.3
36944	49920	"CALOLO"	435	520	""	"P"	NA	1	1.3	1.3	20140627	7	11	14	4	17.7
36962	49923	"SLOATE"	576	564	""	"P"	NA	1	1.3	5.85	20140627	7	13	24	9.2	19
35499	499905	"ANACEX"	665	820	""	"P"	NA	1	1.3	1.3	20140627	7	3	21	5.5	0.1
35301	NA	"POULAR"	517	607	"B"	""	NA	1	3.4	3.4	20140625	0	0	21	5.2	4.7
35302	NA	"ANDIIN"	236	NA	""	"S"	NA	NA	1.3	NA	20140625	0	0	33	11.5	12.2
35303	NA	"PIT1MA"	205	270	""	""	NA	1	1.3	1.3	20140625	0	0	34	11.5	15.7
35304	NA	"POULAR"	1113	1040	"B"	""	NA	1	3.5	5.65	20140625	0	0	34	12.3	19.3
35305	NA	"MAQUCO"	220	NA	"Q"	"N"	NA	NA	1.3	NA	20140625	0	1	14	1	15.8
35306	NA	"QUARAS"	280	306	""	""	NA	1	1.3	1.3	20140625	0	1	24	9.9	19.2
35307	NA	"VIROSU"	578	560	""	""	NA	1	1.3	3.73	20140625	0	1	41	15.2	1.4
35308	NA	"TET2PA"	284	315	""	""	NA	1	1.3	1.3	20140625	0	2	12	2	5.3
35309	NA	"DIPTPA"	1090	1139	"B"	""	NA	1	3.4	3.4	20140625	0	2	32	11.2	5.2
35310	NA	"CEIBPE"	1378	1385	"B"	""	NA	1	4.1	4.1	20140625	0	2	34	12.7	19
35311	NA	"ALSEBL"	240	315	""	""	NA	1	1.3	1.3	20140625	0	2	44	19.2	19.9
35312	NA	"AST2GR"	212	222	"Q"	""	NA	1	1.3	1.3	20140625	0	3	14	3.8	17.8
35313	NA	"PROTTE"	243	265	""	""	NA	1	1.3	1.3	20140625	0	3	42	18.2	9.9
35314	NA	"LINDLA"	237	273	"M"	""	NA	4	1.3	1.3	20140625	0	4	24	8	18
35315	NA	"TET2PA"	200	204	""	""	NA	1	1.3	1.3	20140625	0	4	33	11.7	14.6
35316	NA	"TRI2TU"	222	269	""	""	NA	1	1.3	1.3	20140625	0	4	44	15.2	15.2
35317	NA	"PROTTE"	224	228	""	""	NA	1	1.3	1.3	20140625	0	4	44	19.8	17.4
35318	NA	"UNK?"	259	262	""	""	NA	1	1.3	1.3	20140625	0	4	42	19.9	5.7
35319	NA	"DIPTPA"	1046	1096	"B"	""	NA	1	3.87	3.87	20140625	0	5	12	4.2	9.8
35320	NA	"TET2PA"	201	224	""	""	NA	1	1.3	1.3	20140625	0	5	24	5.1	18.5
35321	NA	"JAC1CO"	645	NA	""	"S"	NA	NA	1.3	NA	20140625	0	5	24	6	18.5
35322	NA	"DIPTPA"	913	931	"B"	""	NA	1	3.87	3.87	20140625	0	5	44	15.1	16.1
35323	NA	"SLOATE"	278	285	""	""	NA	1	1.3	1.3	20140625	0	5	44	15.9	19
35324	NA	"PLA2EL"	247	NA	""	"N"	NA	NA	1.3	NA	20140625	0	5	42	18.1	9.9
35325	NA	"DIPTPA"	768	775	"B"	""	NA	1	3.65	3.65	20140625	0	5	41	17.5	0.1
35326	NA	"BEILPE"	230	229	"Q"	""	NA	1	1.3	1.3	20140625	0	6	13	4	12.3
35327	NA	"TET2PA"	288	295	""	""	NA	1	1.3	1.3	20140625	0	6	22	9.9	8.5
35328	NA	"BEILPE"	570	582	""	""	NA	1	1.3	1.3	20140625	0	6	32	10.1	9.3
35329	NA	"TAB1RO"	313	314	""	""	NA	1	1.3	1.3	20140625	0	6	33	14.8	12.2
35330	NA	"BEILPE"	292	302	""	""	NA	1	1.3	1.3	20140625	0	6	43	15.3	12.2
35331	NA	"TET2PA"	352	372	""	""	NA	1	1.3	1.3	20140625	0	6	42	18.6	9.7
35332	NA	"SPONRA"	448	NA	""	"N"	NA	NA	1.3	NA	20140625	0	6	42	16.7	5.3
35333	NA	"TRI2TU"	260	277	""	""	NA	1	1.3	1.3	20140625	0	7	13	2.1	14.9
35334	NA	"JAC1CO"	705	740	""	""	NA	1	1.3	1.3	20140625	0	7	24	9	15.3
35336	NA	"POUTRE"	398	435	""	""	NA	1	1.3	1.3	20140625	0	7	33	11.4	14.9
35337	NA	"SPONRA"	402	436	""	""	NA	1	1.3	1.3	20140625	0	7	43	19.7	14
35338	NA	"PROTTE"	341	350	""	""	NA	1	1.3	1.3	20140625	0	7	41	15.8	1.8
35339	NA	"TRI2TU"	285	290	""	""	NA	1	1.3	1.3	20140625	0	8	14	0.7	15.1
35340	NA	"AST2GR"	265	285	""	""	NA	1	1.3	1.3	20140625	0	8	22	5.5	5.2
35341	NA	"DIPTPA"	863	889	"B"	""	NA	1	3.62	3.62	20140625	0	8	34	11	15.4
35342	NA	"INGA SP"	316	329	""	""	NA	1	1.3	1.3	20140625	0	9	12	3.8	8.3
35343	NA	"STERAP"	251	280	""	""	NA	1	1.3	1.3	20140625	0	9	13	3.5	11.5
35344	NA	"INGAFA"	225	223	""	""	NA	1	1.3	1.3	20140625	0	9	14	4.9	17.8
35345	NA	"TAB2AR"	259	NA	""	"C"	NA	NA	1.3	NA	20140625	0	9	24	9.3	19.8
35346	NA	"GUAPST"	947	820	""	""	NA	1	1.3	3.39	20140625	0	9	33	14.7	12
35347	NA	"ANACEX"	637	660	""	""	NA	1	1.3	1.3	20140625	0	9	41	18	4.6
35376	NA	"POUTRE"	364	NA	""	"N"	NA	NA	1.3	NA	20140627	6	0	24	8	15.1
35377	NA	"TET2PA"	263	300	""	""	NA	1	1.3	1.3	20140627	6	0	21	5.3	4.9
35379	NA	"JAC1CO"	617	634	""	""	NA	1	1.3	1.3	20140627	6	0	33	14.9	12.1
35380	NA	"AST2GR"	270	NA	""	"S"	NA	NA	1.3	NA	20140627	6	0	33	12	10.3
35381	NA	"POULAR"	347	361	"B"	""	NA	1	3.07	3.07	20140627	6	0	43	19.9	11.2
35383	NA	"JAC1CO"	664	688	"B"	""	NA	1	2.76	2.76	20140627	6	1	24	9.8	18.1
35384	NA	"TRI2TU"	205	242	""	""	NA	1	1.3	1.3	20140627	6	1	22	7.2	5.1
35385	NA	"INGAFA"	255	273	""	""	NA	1	1.3	1.3	20140627	6	1	33	12.2	10.6
35386	NA	"ANACEX"	954	1015	""	""	NA	1	1.3	1.3	20140627	6	1	33	14.8	14.2
35387	NA	"LUEHSE"	382	395	"B"	""	NA	1	3.01	3.01	20140627	6	1	34	10.2	18.5
35388	NA	"PROTTE"	270	273	""	""	NA	1	1.3	1.3	20140627	6	1	43	16	11
35389	NA	"UNK?"	727	743	""	""	NA	1	1.3	2.35	20140627	6	1	43	18	12
35390	NA	"VIROSE"	304	344	""	""	NA	1	1.3	1.3	20140627	6	1	42	16	7
35392	NA	"GUSTSU"	220	222	""	""	NA	1	1.3	1.3	20140627	6	2	12	4	8.5
35393	NA	"TAB1RO"	315	390	""	""	NA	1	1.3	1.3	20140627	6	2	24	9	19
35394	NA	"GAR2MA"	215	252	""	""	NA	1	1.3	1.3	20140627	6	2	21	7.2	1
35395	NA	"GUARGU"	261	277	""	""	NA	1	1.3	1.3	20140627	6	2	33	13	11.5
35396	NA	"SPONRA"	452	455	""	""	NA	1	1.3	1.3	20140627	6	2	33	10.9	14.9
