col,row,name,date,p5,tag,dbh,comments
0,10,FA,12/30/04,33,4358,331,
0,10,FA,12/30/04,33,4358,43,
0,10,FA,12/30/04,33,4358,19,
0,10,FA,12/30/04,33,4358,18,
0,10,FA,12/30/04,33,4358,18,
0,10,FA,12/30/04,33,4358,12,
0,10,FA,12/30/04,33,4358,14,
0,10,FA,12/30/04,33,4358,16,
0,6,FA,12/30/04,11,4334,340,
0,6,FA,12/30/04,11,4334,47,
0,6,FA,12/30/04,11,4334,23,
0,6,FA,12/30/04,11,4334,18,
0,6,FA,12/30/04,11,4334,11,
0,6,FA,12/30/04,11,4334,16,
0,6,FA,12/30/04,11,4334,10,
0,6,FA,12/30/04,11,4334,15,
2,12,BC,12/30/04,21,29856,202,
2,12,BC,12/30/04,21,29856,37,
0,13,FA,12/30/04,14,4373,265,
0,13,FA,12/30/04,14,4373,12,
4,13,BC,12/30/04,34,29888,22,
4,13,BC,12/30/04,34,29888,18,
4,12,BC,12/30/04,33,29896,413,
4,12,BC,12/30/04,33,29896,30,
4,12,BC,12/30/04,33,29896,49,
4,12,BC,12/30/04,33,29896,28,
4,12,BC,12/30/04,33,29896,40,
4,12,BC,12/30/04,33,29896,35,
4,12,BC,12/30/04,33,29897,230,
4,12,BC,12/30/04,33,29897,22,
2,13,BC,12/30/04,21,29864,348,
2,13,BC,12/30/04,21,29864,21,
3,13,OV,12/30/04,23,17306,226,
3,13,OV,12/30/04,23,17306,21,
3,13,OV,12/30/04,21,17307,304,
3,13,OV,12/30/04,21,17307,17,
6,13,FA,01/03/05,11,4421,275,
6,13,FA,01/03/05,11,4421,36,
6,13,FA,01/03/05,11,4421,27,
6,13,FA,01/03/05,11,4421,36,
5,11,FA,01/03/05,43,4401,263,
5,11,FA,01/03/05,43,4401,210,
5,11,FA,01/03/05,42,4403,436,
5,11,FA,01/03/05,42,4403,11,
5,11,FA,01/03/05,41,4405,280,
5,11,FA,01/03/05,41,4405,119,
4,10,OH,01/03/05,34,17345,220,
4,10,OH,01/03/05,34,17345,35,
3,12,OH,01/03/05,33,17313,233,
3,12,OH,01/03/05,33,17313,30,
9,7,FA,01/04/05,22,4488,315,
9,7,FA,01/04/05,22,4488,35,
9,7,FA,01/04/05,22,4488,29,
9,7,FA,01/04/05,32,4489,236,
9,7,FA,01/04/05,32,4489,20,
9,7,FA,01/04/05,34,4490,448,
9,7,FA,01/04/05,34,4490,90,
6,14,FA,01/04/05,13,4433,277,
6,14,FA,01/04/05,13,4433,25,
6,14,FA,01/04/05,31,4435,230,
6,14,FA,01/04/05,31,4435,13,
6,14,FA,01/04/05,31,4435,14,
6,14,FA,01/04/05,31,4435,15,
6,14,FA,01/04/05,31,4435,15,
6,14,FA,01/04/05,31,4435,18,
6,14,FA,01/04/05,31,4435,19,
6,14,FA,01/04/05,31,4435,14,
6,14,FA,01/04/05,31,4435,13,
6,14,FA,01/04/05,31,4435,24,
7,12,OH,01/03/05,14,17368,238,
7,12,OH,01/03/05,14,17368,21,
7,13,OH,01/04/05,13,17376,235,
7,13,OH,01/04/05,13,17376,72,
9,13,OH,01/04/05,14,17397,553,
9,13,OH,01/04/05,14,17397,14,
9,13,OH,01/04/05,14,17397,33,
9,11,OH,01/04/05,12,23924,226,
9,11,OH,01/04/05,12,23924,16,
9,11,OH,01/04/05,12,23924,16,
9,11,OH,01/04/05,12,23924,26,
9,11,OH,01/04/05,12,23924,19,
9,11,OH,01/04/05,12,23924,11,
9,11,OH,01/04/05,12,23924,32,
9,10,OH,01/04/05,42,23936,513,
9,10,OH,01/04/05,42,23936,12,
8,0,OH,01/05/05,22,23976,223,
8,0,OH,01/05/05,22,23976,150,
0,0,OH,01/05/05,12,23941,216,
0,0,OH,01/05/05,12,23941,101,
0,0,OH,01/05/05,12,23941,48,
5,11,0H,01/05/05,42,4402,387,
5,11,0H,01/05/05,42,4402,292,
5,11,0H,01/05/05,42,4402,176,
