"tag"	"new.tag"	"sp"	"dbh04"	"dbh14"	"code04"	"code14"	"stems04"	"stems14"	"pom04"	"pom14"	"date14"	"col"	"row"	"p5"	"x"	"y"
19286	22303	"ZANTPA"	268	300	""	"P"	NA	1	1.3	1.3	20140619	4	4	14	4.9	17.7
19288	22306	"CORDBI"	228	355	""	"P"	NA	1	1.3	1.3	20140619	4	5	23	8.7	11.5
19290	22307	"NECTCI"	373	432	""	"P"	NA	4	1.3	1.3	20140619	4	6	21	8	3.3
19294	22308	"VIROSU"	269	423	""	"P"	NA	1	1.3	1.3	20140619	4	6	31	13	3.8
19299	22310	"OCOTOB"	349	515	"M"	"P"	NA	1	1.3	3.65	20140619	4	7	23	9.8	10.3
19305	22312	"ALSEBL"	409	480	""	"P"	NA	1	1.3	1.3	20140619	4	8	24	9	15
19422	22318	"ALCHCO"	365	456	"MQ"	"P"	NA	5	1.3	1.3	20140619	4	9	41	19.9	2
17347	22320	"CORDBI"	309	320	""	"P"	NA	1	1.3	1.3	20140619	4	10	44	15.4	17.3
29889	22323	"ZANTP1"	204	324	""	"P"	NA	1	1.3	1.3	20140619	4	13	21	7.8	4.1
29882	22324	"TACHVE"	200	399	""	"P"	NA	1	1.3	1.3	20140619	4	13	12	0.2	5.2
29885	22325	"APEIME"	349	439	""	"P"	NA	1	1.3	1.3	20140619	4	13	14	3.8	18.8
29877	22328	"QUARAS"	288	402	"B"	"P"	NA	1	3.32	3.32	20140619	4	14	34	11.5	19.9
19899	22329	"OCOTOB"	237	445	""	"P"	NA	1	1.3	1.3	20140620	6	0	22	8	9.5
19316	22334	"POUTRE"	576	625	""	"P"	NA	1	1.3	3.45	20140620	6	2	42	19.3	5
19332	22342	"SIMAAM"	377	505	""	"P"	NA	1	1.3	1.3	20140620	6	5	42	15.7	7.7
19337	22343	"POUTRE"	283	400	""	"P"	NA	1	1.3	1.3	20140620	6	6	11	0.02	3
19341	22344	"ZANTP1"	225	340	""	"P"	NA	1	1.3	1.3	20140620	6	6	23	9.7	12
19939	22350	"NECTCI"	234	352	"M"	"P"	NA	4	1.3	1.3	20140620	6	9	42	17	8.5
19354	22365	"CORDAL"	485	520	""	"P"	NA	1	1.3	1.3	20140623	8	2	32	12.2	7.9
19357	22368	"TRI2TU"	221	247	""	"P"	NA	1	1.3	1.3	20140623	8	3	44	19.7	17.8
19368	22373	"INGAFA"	311	500	""	"P"	NA	1	1.3	1.3	20140623	8	6	22	5.5	9.8
19370	22375	"OCOTWH"	613	793	"BM"	"P"	NA	10	1.3	2.9	20140623	8	7	22	7.8	9.2
19375	22377	"NECTCI"	281	66	"M"	"P"	NA	2	1.3	1.3	20140623	8	7	43	16.3	10.7
4479	22378	"ALSEBL"	484	565	""	"P"	NA	1	1.3	1.3	20140623	8	8	14	3.5	18
4480	22379	"JAC1CO"	281	428	""	"P"	NA	1	1.3	1.3	20140623	8	8	14	4.9	18.8
4461	22390	"SIMAAM"	244	395	""	"P"	NA	1	1.3	1.3	20140623	8	11	11	0.8	4.8
4441	22391	"ALSEBL"	484	510	""	"P"	NA	1	1.3	1.3	20140623	8	14	32	11.3	9.9
4442	22392	"HURACR"	993	1080	""	"P"	NA	1	1.3	1.3	20140623	8	14	33	10.3	11.2
4447	22393	"QUARAS"	255	329	""	"P"	NA	1	1.3	1.3	20140623	8	14	21	5.2	0.2
4463	22396	"JAC1CO"	246	410	""	"P"	NA	1	1.3	1.3	20140623	8	11	13	0.7	14.4
23919	22398	"TRI2TU"	633	550	""	"P"	NA	1	1.3	1.3	20140623	9	12	23	6.3	11.8
19844	48909	"CEIBPE"	774	990	"B"	"P"	NA	1	1.3	4.2	20140620	7	1	22	8.2	9.7
19850	48912	"SIMAAM"	375	533	""	"P"	NA	1	1.3	1.3	20140620	7	2	23	5.2	10.3
19851	48913	"TAB2AR"	209	209	"Q"	"P"	NA	1	1.3	1.3	20140620	7	2	14	4.7	17.3
19863	48916	"CASESY"	306	402	""	"P"	NA	1	1.3	1.3	20140620	7	4	22	8	6.2
19867	48917	"DRYPST"	326	428	"M"	"P"	NA	2	1.3	1.3	20140620	7	4	44	18.9	15.5
